gen;best;worst;mean;median;variance;std_dev;diversity
1;117;205;158.90299999999985;158.0;178.47006106106087;13.359268732272021;0.5729998203559518
2;117;208;156.75499999999982;157.0;176.81579079079083;13.297209887445968;0.574072880082813
3;115;218;155.726;155.0;179.3482722722723;13.392097381376537;0.5736253636167721
4;115;200;155.10799999999998;155.0;157.83016616616618;12.563047646417894;0.5644220027610094
5;115;195;154.85200000000032;155.0;157.72381981981988;12.558814427318364;0.5648843488755206
6;115;194;154.23700000000005;154.0;161.31814914914924;12.701108185869028;0.5675837915598487
7;114;196;153.83800000000002;153.0;154.45821421421414;12.4281219101767;0.5619061163018151
8;114;199;153.9760000000002;153.0;159.39682082082078;12.625245376657864;0.5656858396019646
9;114;195;153.63100000000006;154.0;152.309148148148;12.341359250428942;0.5625079447887286
10;114;201;153.87400000000014;153.0;150.03415815815816;12.248843135502968;0.5599306526507615
11;114;198;153.88700000000017;154.0;163.76399499499502;12.79703071009033;0.5679091667892444
12;114;203;153.53199999999987;153.0;153.38436036036038;12.384843978038656;0.5632476918867608
13;114;203;153.2990000000001;153.0;158.27787687687677;12.580853582999715;0.5649024797024995
14;114;202;153.58100000000016;153.0;150.93837737737732;12.285698082623442;0.5626725842865112
15;114;194;152.96699999999993;153.0;141.70761861861874;11.904100916012881;0.5577341332237656
16;114;198;151.96899999999994;151.5;149.8198588588588;12.240092273298384;0.561273940262422
17;114;198;151.915;152.0;140.7945695695696;11.865688752431087;0.5563700127536181
18;114;199;152.24099999999987;152.0;155.82073973973965;12.48281778044283;0.5630353214568217
19;114;195;152.52500000000032;152.0;164.1895645645645;12.813647590150296;0.5687741675634305
20;114;193;151.473;151.0;143.98525625625618;11.999385661618522;0.5578690542048912
21;114;193;151.5070000000002;151.0;138.94689789789786;11.787573876667661;0.5541307651994979
22;114;187;150.698;151.0;143.54033633633637;11.980832038566286;0.5599246480332769
23;114;192;150.72799999999995;151.0;142.33835435435427;11.930563874115686;0.5580212313179211
24;113;193;150.64799999999983;150.5;149.1852812812813;12.214142674837285;0.5621994195422193
25;113;197;150.5030000000003;150.0;155.12511611611603;12.454923368536477;0.563055733444241
26;113;189;149.7050000000002;149.0;134.998973973974;11.61890588540823;0.5546750754424647
27;113;201;150.2979999999998;150.0;152.1133093093094;12.333422449154549;0.5625897769279858
28;113;193;149.76899999999998;150.0;154.74838738738748;12.439790488082485;0.5638121194918312
