gen;best;worst;mean;median;variance;std_dev;diversity
1;125;209;159.72700000000003;159.0;165.29176276276274;12.856584412773197;0.5681323566704161
2;125;205;158.52700000000002;158.0;168.14541641641642;12.967089743516716;0.5681740582168713
3;110;215;157.22099999999995;157.0;165.49365265265263;12.864433631242871;0.5660595631909549
4;110;207;156.93900000000002;156.0;154.51179079079083;12.430277180770782;0.5632216592051087
5;110;206;156.71699999999993;156.0;182.66557657657657;13.515382960781265;0.574705137243233
6;110;199;155.7720000000002;156.0;170.26428028028022;13.04853556075471;0.5712092977732023
7;106;207;154.73299999999995;154.0;167.94765865865864;12.959462128447255;0.5681478537425432
8;106;199;155.06000000000003;155.0;162.46486486486492;12.746170596099242;0.5671492593620758
9;102;197;153.61799999999985;153.0;157.47555155155158;12.548926310706888;0.5637191796738477
10;102;195;153.73899999999992;153.5;155.36224124124126;12.464439066449852;0.5626936850121794
11;102;201;153.15100000000024;153.0;151.52972872872874;12.309741212906498;0.561280669629937
12;102;201;154.07000000000002;153.0;166.81191191191206;12.915568586473926;0.5684569686975748
13;102;194;153.78599999999992;153.0;165.22542942942954;12.854004412222269;0.568826722502004
14;102;220;152.70699999999985;152.0;156.16131231231222;12.496451988957194;0.5623400569223698
15;102;202;153.3800000000002;153.0;169.54914914914914;13.021103991180976;0.5698930099451315
16;102;208;153.30899999999994;153.0;167.41493393393392;12.938892299340539;0.5670837506002556
17;102;194;153.5969999999999;153.0;153.77836936936936;12.400740678256657;0.5636514388301037
18;102;197;152.57500000000022;152.0;164.57294794794797;12.828598830267785;0.5652414223407902
19;102;196;151.67200000000005;151.0;162.47288888888883;12.746485354359013;0.5660747784026541
20;102;196;151.49600000000018;151.0;164.44442842842844;12.82358874997278;0.5678943636624485
21;102;196;151.51200000000009;151.0;158.42828428428427;12.58682979484049;0.5652280549184616
22;102;218;151.3319999999998;151.0;164.58836436436434;12.829199677468752;0.5662607528853508
23;102;200;151.89499999999992;151.0;161.973948948949;12.726898638275902;0.5651691412484686
24;102;206;151.12200000000004;151.0;164.3995155155156;12.821837446930747;0.5658681093954451
25;102;193;150.67500000000018;150.0;159.69507007007013;12.637051478492525;0.563753242859903
26;102;196;150.05599999999984;149.0;154.19505905905905;12.417530312387365;0.562647691024999
27;102;195;149.9199999999999;149.0;155.76336336336337;12.480519354712902;0.5630072896565274
28;102;202;149.4030000000001;149.0;154.0866776776777;12.413165497876749;0.5636888841531417
29;102;194;149.7400000000001;149.0;149.0714714714715;12.209482850287785;0.5604107300597864
30;102;195;148.73499999999981;149.0;134.28706206206212;11.588229461917905;0.5535611022814145
31;102;193;148.30800000000002;148.0;142.95208808808798;11.956257277596864;0.5565196729300209
32;102;190;148.4350000000002;147.0;150.8686436436437;12.282859750222816;0.5620664946267022
33;102;200;147.81200000000013;147.0;160.29094694694695;12.660606105038848;0.5676347354077506
34;102;190;146.72999999999993;146.0;144.5816816816817;12.02421231023811;0.5600149893887136
35;102;194;146.01200000000014;146.0;152.97683283283288;12.368380364171895;0.5605220180369566
36;102;183;145.47700000000023;145.0;138.0455165165166;11.749277276348389;0.556189423432645
37;102;189;144.23599999999996;144.0;142.14444844844846;11.922434669498024;0.5573467535140173
38;102;177;143.82500000000022;144.0;137.14952452452454;11.711085539971286;0.5534074199645064
39;102;179;142.59599999999992;142.0;136.3050890890892;11.674977048760704;0.5553551156408016
40;102;185;141.85400000000004;142.0;146.37906306306314;12.098721546637195;0.5593774030342811
41;99;183;141.82199999999997;141.0;142.5108268268269;11.937789863573027;0.5572172309262109
42;99;179;140.7009999999997;140.0;140.16176076076079;11.838993232566729;0.5558532242047288
43;99;179;140.34299999999993;140.0;135.25060160160163;11.629729214457301;0.5550012582576499
44;99;184;138.915;138.0;139.38315815815812;11.806064465271996;0.5539842177287359
45;99;174;138.28799999999958;138.0;134.827883883884;11.611540978004772;0.5538315685357518
46;99;170;136.9930000000002;137.0;127.51046146146152;11.29205302243403;0.5495652572715563
47;99;183;135.48600000000008;135.0;127.67948348348357;11.299534657829213;0.5516616296181404
48;99;174;134.95699999999997;134.0;123.67682782782785;11.12100839977328;0.546074210410095
49;98;171;133.85299999999978;133.0;130.42381481481485;11.420324637015133;0.5527194694934763
50;97;169;132.11199999999977;132.0;123.76321921921922;11.124891874495646;0.547159953371748
51;97;178;130.92899999999992;131.0;113.35331231231241;10.646751256243023;0.5419061255331223
52;97;185;131.715;131.0;123.53330830830824;11.114553896054858;0.5467915925237201
53;97;168;131.45600000000002;131.0;111.78184584584588;10.572693405459457;0.540999067271861
54;97;168;131.34199999999996;131.0;122.60163763763758;11.07256237903574;0.5472513281384975
55;97;173;130.17800000000005;129.5;118.58490090090092;10.88966945783484;0.5446485225549001
56;97;171;129.60799999999998;129.5;106.02436036036033;10.296813116705593;0.5374865595085386
57;97;169;128.44199999999998;128.0;109.83447047047044;10.480194200036106;0.5382253649776678
58;97;163;128.07100000000008;128.0;99.74370270270272;9.98717691355784;0.53259510284319
59;97;162;127.34900000000013;127.0;102.81801701701701;10.139921943339456;0.5344199737435888
60;87;160;126.69999999999996;127.0;92.67867867867879;9.62697661151614;0.528374398135031
61;87;164;126.49700000000003;126.5;109.97396496496519;10.486847236656267;0.5382840647970212
62;87;165;125.34699999999992;125.0;107.77836936936934;10.381636160517731;0.5381026450571396
63;87;168;124.25800000000005;124.0;106.58802402402402;10.324147617310787;0.5367254160561404
64;87;166;124.69500000000005;124.0;109.74371871871868;10.475863626389888;0.5396038500604249
65;87;157;123.64899999999987;123.0;101.49729629629623;10.074586656349542;0.534917956053863
66;87;160;123.21100000000007;123.0;102.62310210210207;10.130306120848573;0.5335897655623799
67;87;157;122.36499999999994;122.0;108.60638138138127;10.421438546639388;0.5389557916756932
68;87;160;121.16199999999999;121.0;106.55230830830824;10.322417754979123;0.5372509602583848
69;87;160;120.63399999999997;120.0;99.41345745745738;9.970629742270916;0.5335089386590071
70;87;152;120.39900000000003;120.0;93.45525425425423;9.667225778590993;0.5291597292674034
71;87;160;119.81900000000012;119.0;94.43066966966967;9.717544425916953;0.5273212674514552
72;87;165;120.26200000000006;120.0;96.40976576576578;9.818847476448841;0.5286312838504426
73;87;161;119.597;119.0;97.01760860860863;9.849751702891227;0.5303027942283755
74;85;162;118.91400000000003;119.0;95.55415815815816;9.775180722531843;0.5293675651357027
75;85;152;118.26500000000007;118.0;104.7455205205205;10.234525905996843;0.5362858982229629
76;84;158;117.40199999999993;117.0;99.54193793793802;9.97707060904843;0.5315125502567184
77;84;153;117.5630000000001;117.0;100.88091191191185;10.043949019778617;0.533083899016544
78;84;150;116.3430000000001;116.0;104.63798898898894;10.229271185621629;0.5369140884133464
79;83;149;115.49300000000002;115.0;89.61957057057054;9.466761355953288;0.5248724617089155
80;83;146;114.91600000000014;115.0;93.00594994995001;9.643959246593175;0.5295570824043816
81;83;149;114.14699999999986;114.0;100.76215315315308;10.038035323366474;0.5330823897554564
82;83;150;113.04700000000003;113.0;91.6264174174174;9.57216889829141;0.526053198339347
83;83;148;112.74300000000002;112.0;100.4073583583584;10.020347217455011;0.5329649915010665
84;83;143;111.79399999999997;112.0;92.56813213213206;9.6212333997327;0.5266144802752372
85;82;147;110.508;110.0;86.96690290290289;9.325604693686243;0.52339623457428
86;80;146;110.05899999999994;110.0;95.13064964964964;9.75349422769346;0.5294430989599781
87;80;144;109.07799999999989;109.0;92.03595195195196;9.59353698861645;0.526674790114721
88;80;144;108.80499999999995;109.0;88.24722222222225;9.39399926667137;0.5250626054307097
89;80;144;107.90400000000007;107.0;84.45924324324328;9.190171012731117;0.5218975169630391
90;78;141;107.07799999999999;107.0;86.5364524524525;9.302497108435588;0.5239871934107772
91;78;139;106.37900000000008;106.0;88.11947847847843;9.387197583862738;0.5238393671943461
92;75;142;105.84700000000004;106.0;87.69128228228233;9.364362353213503;0.5213881756278486
93;75;140;105.2390000000001;105.0;84.25012912912902;9.17878690945209;0.5219844020001645
94;75;134;104.58100000000017;104.0;81.8833223223224;9.04894039776605;0.5206555829141349
95;74;130;103.56200000000007;103.0;77.17933533533535;8.785177023562778;0.515747947342871
96;72;139;101.68100000000013;101.0;81.74698598598594;9.041403983120428;0.517295892915509
97;72;135;100.84800000000017;100.0;92.60349949949956;9.623071209312522;0.5276543517682203
98;72;126;99.99800000000005;100.0;78.52051651651654;8.861180311703206;0.516473459728715
99;70;126;97.98899999999985;97.0;77.78866766766762;8.819788413996541;0.5147150064750132
100;70;128;96.4770000000001;96.0;75.15262362362361;8.669061288491598;0.5130102617189677
101;69;125;95.20100000000005;95.0;77.52612512512515;8.804892113201907;0.5151702686627662
102;69;123;93.92899999999986;93.0;81.04300200200198;9.002388683121941;0.5197813151122528
103;69;122;92.03899999999996;92.0;74.80428328328331;8.648946946494892;0.5107906258779326
104;66;121;90.93799999999986;91.0;71.5156716716717;8.456693897243278;0.5087363427519842
105;66;118;89.61399999999983;89.0;65.40440840840847;8.0872992035913;0.5031780479283245
106;64;119;88.31600000000005;88.0;63.49563963963965;7.968415127215678;0.500155599408304
107;63;120;87.3750000000002;87.0;65.08946446446448;8.067804191009131;0.5026132232538163
108;63;118;86.50399999999995;86.0;69.31529929929928;8.325581018721714;0.5070184383426569
109;61;122;85.46899999999992;85.0;64.09513413413413;8.005943675428533;0.501721144038396
110;61;112;84.82000000000008;85.0;64.58418418418417;8.036428571460345;0.5030865504009868
111;61;115;83.77399999999992;83.0;63.352276276276285;7.959414317415339;0.500277977155997
