gen;best;worst;mean;median;variance;std_dev;diversity
1;10;30;19.93500000000001;20.0;9.10988488488488;3.018258584827496;0.36401689269758397
2;10;29;19.860999999999997;20.0;10.18786686686686;3.191843803644981;0.37147153188002663
3;10;29;19.909999999999993;20.0;9.849749749749753;3.1384310968618943;0.3694351877639892
4;10;31;19.858999999999998;20.0;9.61673573573574;3.101086218687855;0.3675032531106085
5;10;30;20.082999999999995;20.0;10.350461461461464;3.2172133068016278;0.3724189594887695
6;8;29;19.955000000000013;20.0;10.195170170170183;3.1929876558123715;0.3721279407539336
7;8;29;19.812000000000012;20.0;9.45411011011011;3.074753666573976;0.36644948925653054
8;8;30;20.016000000000023;20.0;9.891635635635634;3.1450970788889228;0.36989336395444555
9;8;30;19.710999999999963;20.0;10.08556456456457;3.1757777889147993;0.3713542372633599
10;8;30;19.981000000000016;20.0;9.426065065065067;3.0701897441469423;0.3655803573921034
11;8;29;19.926000000000016;20.0;9.63015415415415;3.1032489674781414;0.3671411979411914
12;8;29;19.960999999999952;20.0;10.30378278278279;3.209950588838213;0.372801767214619
13;8;33;19.965;20.0;10.510285285285276;3.24195701471893;0.3736670459745598
14;8;28;19.96399999999999;20.0;10.198902902902903;3.193572122702555;0.3716595349192086
15;8;32;19.947999999999958;20.0;10.64994594594594;3.2634254926297825;0.3742461975383502
16;8;30;19.78600000000002;20.0;10.156360360360365;3.186904510706332;0.371806503561474
17;8;30;20.00899999999998;20.0;9.478397397397393;3.078700602104302;0.36603208768132234
18;8;30;19.973999999999993;20.0;10.143467467467467;3.1848810758751207;0.3719208453874364
19;8;29;19.77600000000001;20.0;10.029853853853862;3.1669944511877284;0.3704914114720026
20;8;29;19.73800000000002;20.0;10.656012012012;3.264354761972418;0.37388587427283304
21;8;30;19.985000000000024;20.0;10.164939939939943;3.1882502944310915;0.3717586743561182
22;8;29;19.90000000000001;20.0;9.699699699699696;3.11443408979861;0.3673085999352592
23;8;29;19.752999999999975;20.0;9.087078078078079;3.0144780772263178;0.3635151926711131
24;8;31;19.81100000000001;20.0;10.255534534534533;3.2024263511491617;0.3709654777785532
25;8;29;19.88999999999998;20.0;9.877777777777775;3.1428932176861775;0.36873970804699785
26;8;29;19.87299999999998;20.0;9.502373373373384;3.0825919894422267;0.36705362093956284
27;8;30;19.897000000000013;20.0;10.15454554554554;3.1866197679587596;0.37143663221670237
28;8;31;19.945000000000025;20.0;9.785760760760763;3.1282200627131016;0.36722190280967987
29;8;30;19.88300000000003;20.0;9.905216216216214;3.1472553465227784;0.3700176069784379
30;8;31;19.991999999999962;20.0;10.2561921921922;3.2025290306556475;0.37194874982844384
31;8;32;19.890999999999984;20.0;10.079198198198192;3.1747752988515883;0.3699165487299401
32;8;31;19.914000000000005;20.0;10.545149149149147;3.2473295411998375;0.3742603529072581
33;8;30;19.794999999999998;20.0;10.081056056056058;3.175067882117807;0.3705328783689409
