gen;best;worst;mean;median;variance;std_dev;diversity
1;10;30;19.780999999999995;20.0;10.52756656656657;3.244621174585189;0.3735366540017646
2;9;32;19.664999999999978;20.0;10.953728728728734;3.3096417825391216;0.3760379442974365
3;7;33;19.595999999999965;20.0;9.646430430430431;3.1058703177097446;0.3672436330421185
4;7;29;19.566999999999997;20.0;9.743254254254246;3.1214186284851713;0.3683279377148829
5;7;31;19.820999999999998;20.0;9.370329329329325;3.06109936613128;0.3657508113398834
6;7;29;19.613999999999997;20.0;9.910914914914905;3.1481605605360894;0.36946438480428406
7;7;29;19.604999999999986;20.0;9.664639639639637;3.108800353776298;0.36727817135168656
8;7;29;19.558999999999994;20.0;9.343862862862867;3.05677327632634;0.365770378236658
9;7;29;19.915999999999983;20.0;10.62556956956957;3.2596885694141964;0.3743685505007677
10;7;31;19.699000000000012;20.0;10.274673673673675;3.2054131829880643;0.37196943456795956
11;5;30;19.417999999999996;20.0;11.242518518518516;3.352986507357063;0.37803150348425724
12;4;32;19.684999999999995;20.0;11.020795795795784;3.319758394190123;0.37643448295213927
13;4;31;19.755000000000003;20.0;10.027002002001998;3.1665441733855535;0.3696451001691529
14;4;29;19.895999999999983;20.0;10.399583583583581;3.224838536048523;0.3726917464547415
15;4;30;19.751000000000033;20.0;9.422421421421427;3.0695962961636223;0.36546786657235497
16;4;29;19.634999999999945;20.0;9.87565065065066;3.14255479676181;0.36868309824367357
17;4;30;19.793000000000006;20.0;9.779930930930936;3.1272881112764357;0.36820913536285355
18;4;29;19.581999999999983;20.0;10.123399399399396;3.181728995279044;0.3704283567282354
19;4;30;19.504999999999967;19.0;9.949924924924916;3.154350158895635;0.3690008973859815
20;4;31;19.746999999999936;20.0;10.343334334334346;3.216105460698443;0.3715406068717496
21;4;30;19.749;20.0;9.783782782782781;3.127903896027303;0.3672556551154447
22;4;30;19.599000000000004;20.0;10.328527527527525;3.2138026584604606;0.37264440235796004
23;4;31;19.758999999999954;20.0;10.375294294294296;3.2210703646915717;0.3724399028573463
24;4;29;19.542999999999974;20.0;10.945096096096092;3.3083373612883094;0.3757673691015661
25;4;31;19.55600000000002;20.0;10.098962962962961;3.177886556024768;0.36942633307263706
26;4;31;19.838000000000005;20.0;10.149905905905914;3.185891697140051;0.3703549049932361
27;4;31;19.716000000000008;20.0;10.03537937937939;3.167866692173045;0.36978474087295277
28;4;30;19.671000000000014;20.0;10.619378378378377;3.258738771116577;0.3738488770067502
29;4;30;19.629999999999974;20.0;9.74684684684684;3.121994049777616;0.36683938505336416
30;4;30;19.641999999999996;20.0;10.308144144144148;3.2106298671980467;0.3705096518266285
31;4;30;19.613000000000024;20.0;10.247478478478477;3.2011682989931156;0.37141996982463377
32;4;29;19.623000000000008;20.0;10.161032032032029;3.187637374613372;0.37097767054078834
33;4;30;19.847999999999995;20.0;10.703599599599615;3.27163561534588;0.37410345242027254
34;4;30;19.645000000000007;20.0;9.824799799799797;3.1344536684723536;0.3682835032904989
35;4;30;19.580000000000016;20.0;10.924524524524532;3.305226849177607;0.37686502899834534
36;4;29;19.72199999999997;20.0;10.415131131131119;3.227248228929891;0.37233716465198924
37;4;29;19.73399999999999;20.0;9.98322722722722;3.1596245389645934;0.3694864870170395
38;4;31;19.512999999999987;20.0;10.712543543543552;3.2730022217443655;0.37380278378917314
39;4;34;19.74099999999998;20.0;11.006925925925916;3.31766874867367;0.37535487901445097
40;4;31;19.64200000000001;20.0;9.32516116116116;3.053712684775888;0.3642286059632194
41;4;31;19.51800000000003;20.0;10.127803803803813;3.1824210601056255;0.3706726860259685
42;4;29;19.562999999999988;20.0;9.84988088088088;3.138451987984025;0.3694010774847723
43;4;28;19.647;20.0;9.199590590590583;3.0330826877272212;0.3637604738591196
44;4;29;19.58800000000002;20.0;10.10035635635636;3.178105781177895;0.37007993625503266
45;4;30;19.68000000000002;20.0;10.52812812812813;3.244707710738847;0.3729930817225835
46;4;31;19.624999999999993;20.0;11.127502502502503;3.3357911359230066;0.37642210409614374
47;4;30;19.796000000000017;20.0;10.216600600600605;3.1963417527856133;0.3709866976904375
48;4;29;19.587;20.0;9.642073073073076;3.1051687672448782;0.36706158938691374
49;4;28;19.647999999999968;20.0;9.555651651651658;3.0912217085889613;0.36545548995198746
50;4;29;19.724;20.0;9.825649649649646;3.1345892314065087;0.36890740208452855
51;4;29;19.768000000000022;20.0;10.550726726726719;3.2481882221827476;0.3737596785359121
52;4;30;19.73300000000002;20.0;10.312023023023027;3.2112338785929353;0.37230728527322865
53;4;29;19.668999999999993;20.0;9.633072072072071;3.103719071061695;0.36606463103104714
54;4;29;19.735999999999994;20.0;10.74504904904904;3.2779641622581903;0.3739288885451303
55;4;29;19.786999999999978;20.0;9.959590590590592;3.1558819037775465;0.3697613454806281
56;4;30;19.731999999999978;20.0;9.988164164164155;3.1604056961352534;0.3682775139224844
57;4;29;19.574000000000023;20.0;9.826350350350356;3.1347009985563785;0.36872429366067316
58;4;29;19.517000000000017;19.0;10.358069069069067;3.2183954183830594;0.3711321320794149
59;4;30;19.668999999999993;20.0;10.191630630630634;3.1924333400449623;0.37045170484421774
60;4;28;19.744999999999994;20.0;9.541516516516522;3.0889345277160736;0.3660134632920341
61;4;29;19.70700000000001;20.0;10.025176176176167;3.1662558608198688;0.36942975220764346
62;4;30;19.80000000000002;20.0;10.550550550550549;3.248161102924322;0.3734282407405784
63;4;29;19.711999999999996;20.0;10.133189189189185;3.1832670621845702;0.37033974877448644
64;4;30;19.781;20.0;10.649688688688693;3.2633860771733234;0.37398460900873726
65;4;29;19.625999999999994;20.0;10.268392392392398;3.204433240433072;0.3711306518483941
66;4;32;19.483000000000022;19.0;10.740451451451456;3.277262798655527;0.37416995904521183
67;4;29;19.592000000000013;20.0;10.433969969969967;3.2301656257798865;0.37222007389641865
68;4;32;19.601000000000013;20.0;10.962761761761755;3.3110061555004324;0.3754417184448469
69;4;29;19.91400000000002;20.0;10.595199199199197;3.255026758599566;0.3736411006710536
70;4;28;19.60700000000001;20.0;10.551102102102107;3.2482460039384495;0.3733326956145142
71;4;28;19.69800000000004;20.0;9.800596596596602;3.1305904549456165;0.3672353241153103
72;4;30;19.674999999999997;20.0;10.117492492492499;3.180800605585408;0.3704702130889878
73;4;29;19.703000000000003;20.0;9.778569569569575;3.127070445252165;0.36807296177842475
74;4;30;19.767999999999986;20.0;9.439615615615606;3.072395745280156;0.3657405654906779
75;4;29;19.595000000000002;20.0;10.165140140140144;3.1882816908391494;0.37036576649780323
76;4;28;19.615000000000013;20.0;10.25703203203202;3.202660149318379;0.37190402352811314
77;4;28;19.473000000000006;19.0;9.935206206206203;3.1520162128717235;0.36947727420752224
78;4;31;19.73600000000002;20.0;10.11041441441442;3.1796877856818617;0.36975491743625133
79;4;28;19.673000000000016;20.0;10.05012112112113;3.170192600004159;0.37033187104048987
80;4;29;19.541999999999984;20.0;10.19443043043043;3.192871815533851;0.37112828765462924
81;4;29;19.771000000000015;20.0;10.461020020020023;3.2343500150756754;0.3733628312457172
82;4;30;19.753000000000007;20.0;10.474465465465467;3.236427886646861;0.37276514418279616
83;4;30;19.612;20.0;10.113569569569563;3.1801838892695438;0.37050704403050727
84;4;29;19.66399999999996;20.0;10.58769169169169;3.2538733367621564;0.3738294226804126
85;4;30;19.765000000000004;20.0;9.85963463463463;3.1400055150643653;0.3681157949089741
86;4;29;19.684000000000005;20.0;9.173317317317316;3.028748473762276;0.36307738094424497
87;4;29;19.79000000000002;20.0;9.953853853853856;3.1549728768808545;0.369049134677
88;4;29;19.629999999999995;20.0;10.057157157157155;3.171302123285821;0.3691654301909218
89;4;29;19.547000000000004;19.0;9.47526626626627;3.078192045059286;0.3647052350415033
90;4;29;19.802000000000003;20.0;9.700496496496497;3.1145620071683426;0.3674375250829028
91;4;29;19.534000000000002;20.0;9.776620620620621;3.126758804356457;0.3672796049057058
92;4;29;19.477999999999994;19.0;9.873389389389391;3.1421949954433748;0.3684088476406183
93;4;29;19.666000000000015;20.0;9.852296296296291;3.1388367743953;0.36922833570972685
94;4;29;19.635999999999978;20.0;9.93143543543544;3.1514180039206856;0.3686991016228003
95;4;29;19.555999999999987;19.0;10.104968968968972;3.1788313841676112;0.3701768163265299
96;4;28;19.551999999999964;20.0;9.444740740740746;3.0732296921546145;0.3647030551880288
97;4;30;19.77600000000003;20.0;10.141965965965975;3.1846453438280964;0.37057578045459316
98;4;30;19.721;20.0;9.654813813813805;3.1072196275470785;0.36770110789183025
99;4;29;19.79;20.0;9.181081081081077;3.030029881219173;0.36360537879624855
100;4;30;19.586999999999993;19.0;9.365796796796797;3.060358932673878;0.36432237210594226
101;4;29;19.822000000000017;20.0;9.641957957957954;3.105150231141475;0.3668034301963705
102;4;29;19.791000000000018;20.0;10.127446446446433;3.182364914092416;0.37067493450070793
103;4;30;19.75900000000004;20.0;9.616535535535535;3.1010539394753414;0.3657386982843455
104;4;30;19.721000000000004;20.0;10.157316316316313;3.187054489072365;0.3711657493186344
105;4;31;19.77500000000001;20.0;9.792167167167175;3.1292438650842116;0.36728680929373303
106;4;28;19.63800000000001;20.0;9.844800800800789;3.1376425546580013;0.367280812908051
107;4;30;19.71400000000001;20.0;10.656860860860853;3.2644847772444665;0.3744750065046416
108;4;30;19.74699999999999;20.0;10.163154154154164;3.187970224791029;0.370334733208542
109;4;28;19.581000000000035;20.0;9.114553553553552;3.019031890118677;0.3628364554013441
110;4;29;19.82800000000001;20.0;10.200616616616614;3.1938404181512596;0.3705674545050189
