gen;best;worst;mean;median;variance;std_dev;diversity
1;9;28;19.78900000000001;20.0;9.704183183183186;3.115153797677281;0.368226427463021
2;9;31;19.77299999999999;20.0;9.480951951951955;3.0791154495978152;0.36629956953453907
3;9;29;19.919000000000022;20.0;9.948387387387378;3.154106432476142;0.37012342834947326
4;9;30;19.714000000000013;20.0;9.429633633633628;3.070770853325534;0.36666026892877734
5;9;29;19.84599999999999;20.0;9.447731731731725;3.0737162737851595;0.36614990773254
6;8;28;19.55599999999996;20.0;10.329193193193198;3.2139062203482536;0.3725737249102563
7;8;30;19.680999999999965;20.0;9.652891891891883;3.1069103450038407;0.3677063132061519
8;8;30;19.798000000000002;20.0;10.02522122122122;3.1662629741102077;0.3709590854598775
9;8;30;19.753999999999987;20.0;10.125609609609612;3.1820763048062837;0.371059703543969
10;8;30;19.67000000000002;20.0;10.081181181181185;3.175087586379498;0.37121202541214177
11;8;29;19.605999999999984;20.0;9.88264664664665;3.143667706143041;0.36842386810594413
12;7;29;19.68600000000001;20.0;10.057461461461466;3.1713501007396623;0.3701133324690304
13;7;32;19.746999999999975;20.0;10.429420420420419;3.2294613204713287;0.37224556336770426
14;7;29;19.790999999999976;20.0;10.96027927927929;3.3106312508763778;0.37736232661263036
15;7;29;19.631999999999994;20.0;10.294870870870868;3.2085621189048013;0.3730355063135449
16;7;31;19.876000000000023;20.0;10.340964964964972;3.2157370795767757;0.37255849111096356
17;7;30;19.67400000000001;20.0;10.215939939939942;3.1962384047407886;0.37226227032529463
18;7;29;19.77699999999998;20.0;10.26553653653653;3.2039875993106666;0.37247926297157724
19;7;27;19.583999999999975;20.0;10.37531931931932;3.221074249271401;0.3721675865796158
20;7;29;19.78600000000003;20.0;9.625829829829833;3.1025521478018434;0.36723611330697553
21;7;29;19.761000000000003;20.0;9.627506506506515;3.102822345302179;0.3673761127260009
22;7;32;19.702999999999996;20.0;9.914705705705702;3.1487625673755875;0.36903558257804275
23;7;28;19.518000000000004;20.0;10.185861861861865;3.1915297056210936;0.37023607624556243
