gen;best;worst;mean;median;variance;std_dev;diversity
1;8;28;19.27600000000001;19.0;10.071895895895901;3.1736250402175585;0.37059498980172517
2;7;28;19.035000000000014;19.0;10.073848848848847;3.1739327101954835;0.3707535987983845
3;7;28;18.78600000000004;19.0;10.510714714714702;3.242023244012094;0.3741592452301924
4;6;29;18.660999999999987;19.0;9.84592492492493;3.1378216846922533;0.36848702611324974
5;6;30;18.75600000000003;19.0;10.10657057057057;3.1790832909143116;0.37108197131061665
6;6;29;18.600000000000012;19.0;9.927927927927929;3.1508614580663377;0.3699133370455633
7;6;29;18.27299999999999;18.0;9.37985085085085;3.062654216664175;0.36475314546876175
8;6;29;18.253999999999973;18.0;9.444928928928933;3.0732603093341986;0.3652697154292662
9;6;27;18.26599999999997;18.0;9.262506506506504;3.043436627647519;0.36453566609538596
10;6;27;18.232999999999993;18.0;9.13784884884885;3.0228875018513097;0.3633727945013497
11;6;28;18.03799999999999;18.0;9.494050050050049;3.081241640970414;0.3665323401298042
12;6;28;18.16900000000003;18.0;9.073512512512506;3.0122271681452757;0.3636063034199912
13;6;31;18.313000000000002;18.0;9.290321321321322;3.048002841422777;0.36425467872571937
14;6;27;18.265999999999995;18.0;9.698942942942944;3.1143125955727284;0.36745651230540793
15;6;28;18.378000000000004;18.0;9.832948948948955;3.135753330373573;0.3695891409197471
16;6;28;18.287999999999982;18.0;8.929985985985985;2.9883082146903766;0.3616048106219655
17;6;27;18.262999999999984;18.0;9.080911911911912;3.013455145163424;0.36325792977968796
18;6;29;18.333000000000013;18.0;9.705816816816817;3.1154159941838935;0.3680126493433542
19;6;28;18.288999999999987;18.0;9.583062062062062;3.0956521222614892;0.36734654660445043
20;6;28;18.304999999999986;18.0;8.930905905905911;2.98846213057919;0.36164657684567947
21;6;28;18.343000000000014;18.0;10.361712712712707;3.218961433865387;0.3735189689712927
22;6;28;18.313999999999982;18.0;9.142546546546544;3.023664423600368;0.3634608023739252
23;6;29;18.19500000000002;18.0;9.908883883883886;3.147837969763356;0.3689374346111829
24;6;28;18.13900000000001;18.0;8.926605605605602;2.9877425601289014;0.36171632323389574
25;6;27;18.246999999999993;18.0;9.245236236236229;3.0405980063527354;0.3645142822206796
26;6;30;18.23200000000001;18.0;9.577753753753754;3.0947946222251574;0.3672977028102072
27;6;28;18.13999999999999;18.0;10.102502502502501;3.178443408730522;0.37081602229148486
28;6;28;18.131000000000007;18.0;10.111950950950948;3.179929394019771;0.371371895330935
29;6;27;18.23699999999999;18.0;9.47230330330331;3.0777107244351782;0.36687387333753607
30;6;29;18.235999999999986;18.0;8.9973013013013;2.9995501831610185;0.36310635929295937
31;6;28;18.226000000000006;18.0;9.558482482482491;3.0916795568885354;0.3671584650886006
32;6;28;18.21500000000002;18.0;9.810585585585587;3.1321854328225185;0.36941281280798915
33;6;27;18.37799999999998;18.0;9.028144144144132;3.0046870293167194;0.36310209085881084
34;6;29;18.111999999999984;18.0;10.209665665665673;3.195256744874451;0.37235822846252103
35;6;28;18.092000000000002;18.0;9.841377377377373;3.1370969665245245;0.3689582665976138
36;6;29;18.054999999999996;18.0;9.571546546546548;3.093791613303415;0.3672561359548579
37;6;27;17.895999999999994;18.0;9.3124964964965;3.0516383298969916;0.3653248495953616
38;6;27;17.95599999999998;18.0;9.113177177177183;3.018803931555871;0.3635095562850705
39;6;26;18.067999999999977;18.0;8.820196196196191;2.9698815121476128;0.36127170130237596
