gen;best;worst;mean;median;variance;std_dev;diversity
1;8;30;19.714999999999996;20.0;10.658433433433428;3.264725629120069;0.3750743409106101
2;8;29;19.70099999999998;20.0;10.289888888888887;3.207785667542158;0.3718446599327092
3;8;30;19.651999999999997;20.0;10.353249249249247;3.217646538892867;0.3726716486926266
4;8;30;19.857999999999972;20.0;10.14798398398398;3.185590052719273;0.3718250012217808
5;8;29;19.552999999999983;20.0;10.2974884884885;3.2089700042986538;0.37232711716848943
6;8;31;19.565999999999995;20.0;10.059703703703704;3.1717035964452456;0.37091980693631577
7;8;32;19.654000000000025;20.0;10.733017017017016;3.276128357835971;0.3750592382106988
8;8;29;19.586000000000016;20.0;10.14274674674675;3.1847679266701285;0.37082562735827723
9;8;32;19.60899999999999;20.0;10.002121121121121;3.162613021082586;0.37007983109620407
10;7;30;19.68200000000001;20.0;10.27515115115115;3.2054876619870414;0.37202031401405755
11;7;31;19.59600000000002;20.0;10.797581581581579;3.2859673737853177;0.3760197841497718
12;7;30;19.56699999999999;20.0;10.744255255255247;3.27784307971801;0.3762262120208757
13;7;30;19.432;20.0;10.9202962962963;3.304587159736644;0.37606054872391553
14;7;29;19.564000000000007;20.0;10.3942982982983;3.224018966801886;0.37347827143525514
15;7;30;19.65499999999999;20.0;9.969944944944958;3.1575219627019155;0.36824674267367774
16;7;32;19.650000000000002;20.0;10.53803803803804;3.246234439783738;0.3731018160867702
17;7;30;19.527000000000005;20.0;9.29856956956958;3.0493555990683636;0.364363857546028
18;7;29;19.541;20.0;10.432751751751754;3.2299770512732366;0.37303205096554365
19;7;30;19.46599999999998;20.0;10.469313313313313;3.235631825982881;0.37366058052606305
20;7;30;19.53899999999997;20.0;10.416895895895891;3.2275216336836365;0.37310420591042315
21;7;29;19.539000000000023;20.0;9.742221221221227;3.121253149172817;0.36874094342238634
22;7;29;19.598999999999986;20.0;10.420619619619618;3.2280984525908774;0.3734629441975384
23;7;30;19.49900000000001;20.0;10.744743743743745;3.277917592579738;0.3750148742107134
24;7;30;19.47300000000001;20.0;10.800071071071073;3.286346158132322;0.37562929600016837
25;7;30;19.469999999999995;19.0;10.679779779779782;3.2679932343534284;0.37554105979361957
26;7;33;19.406999999999996;19.0;9.751102102102092;3.122675471787309;0.367190245017029
27;7;30;19.52400000000002;20.0;10.375799799799792;3.221148832295675;0.37237533565004355
28;7;29;19.690000000000015;20.0;9.52542542542542;3.0863287941218154;0.366282453676829
29;5;29;19.58;20.0;10.740340340340335;3.277245846795802;0.3750405565594164
30;5;30;19.502000000000006;19.0;9.811807807807812;3.132380533684854;0.3679798534562321
31;5;30;19.422000000000022;20.0;9.567483483483477;3.09313489577863;0.3673315276144538
32;5;32;19.688000000000013;20.0;9.532188188188178;3.087424199585826;0.36572802895399403
33;5;29;19.64500000000002;20.0;10.063038038038037;3.1722291906541114;0.37036641860070985
34;5;30;19.526999999999994;20.0;10.447718718718725;3.232293105323019;0.3731587205437846
35;5;31;19.596999999999987;20.0;10.409000000000002;3.2262981883266777;0.37278932942450155
36;5;29;19.45600000000002;19.0;10.91297697697698;3.303479525739032;0.3758953441269119
37;5;29;19.433999999999976;19.0;9.717361361361354;3.1172682530320284;0.36737885473337484
