gen;best;worst;mean;median;variance;std_dev;diversity
1;8;30;19.515000000000025;19.5;10.97675175175176;3.313118131270263;0.37698125633253465
2;8;30;19.409000000000038;19.0;10.466185185185196;3.2351484023434223;0.37361263496505503
3;8;29;19.285999999999973;19.0;10.338542542542552;3.215360406321903;0.37271971461795955
4;8;29;19.249999999999996;19.0;10.804304304304305;3.28699015883898;0.3755989698401118
5;8;29;19.222000000000012;19.0;10.845561561561565;3.293260020338747;0.3765695744345084
6;8;30;19.08999999999998;19.0;11.6935935935936;3.4195896820515763;0.3814271846871079
7;8;30;18.96999999999997;19.0;11.728828828828826;3.424737775192259;0.38154028788791045
8;8;28;18.994000000000003;19.0;11.339303303303302;3.367388202049669;0.3792537781522387
9;8;31;19.270999999999972;19.0;12.472031031031042;3.5315762813552594;0.38674373253463873
10;8;28;18.969000000000005;19.0;11.777816816816822;3.4318824013676257;0.3820062640306966
11;8;29;19.11100000000001;19.0;11.113792792792792;3.3337355613174826;0.3785195471048612
12;8;30;18.714000000000006;19.0;11.91011411411411;3.451103318377198;0.3835040339098522
13;8;28;18.920000000000016;19.0;11.831431431431428;3.439684786638367;0.3827285068699544
14;8;29;18.99700000000005;19.0;12.559550550550547;3.5439456190171073;0.3869172424090057
15;8;29;18.868000000000023;19.0;11.576152152152153;3.4023744873473514;0.38041927868548825
16;8;29;18.85899999999996;19.0;11.868987987987985;3.445139763200905;0.38264786262063155
17;8;30;18.871000000000013;19.0;12.90526426426426;3.592389770649095;0.38861940441927206
18;8;31;19.06999999999998;19.0;12.565665665665662;3.544808269239066;0.3863089589169299
19;8;28;18.90899999999998;19.0;12.168887887887886;3.4883933103776994;0.384051584767063
20;8;30;18.865999999999993;19.0;13.153197197197205;3.626733681592461;0.3895489301269019
21;8;30;18.559000000000015;18.0;13.243762762762756;3.639198093366553;0.3911671292264326
22;7;29;18.856999999999978;19.0;12.805356356356354;3.578457259260805;0.3885097173540133
23;7;31;18.78299999999997;19.0;12.594505505505506;3.548873836233898;0.3851568794444157
24;7;29;18.822000000000006;19.0;13.117433433433437;3.621799750598235;0.3902006771696611
25;7;31;18.68699999999999;19.0;13.866897897897887;3.7238283926488727;0.39380437462702195
26;7;31;18.93099999999999;19.0;13.269508508508506;3.642733658738792;0.3902946982633607
27;7;32;18.671000000000017;19.0;13.752511511511502;3.7084378802282103;0.39334325300821465
28;7;30;18.629999999999978;19.0;13.260360360360378;3.6414777715043627;0.3902261897751632
29;7;30;18.581999999999997;19.0;13.907183183183175;3.7292335919305426;0.3944292719618183
30;7;33;18.538000000000004;18.0;14.08464064064063;3.752950924358142;0.39483388001463954
31;7;30;18.631000000000018;19.0;14.595434434434418;3.82039715663626;0.39753744843624794
32;7;31;18.635999999999992;18.0;14.546050050050054;3.813928427494419;0.39726976102468053
33;6;30;18.651000000000014;19.0;14.337536536536547;3.786493963620772;0.39627368921458905
34;6;30;18.84200000000001;19.0;14.53557157157157;3.812554468013745;0.39749330011806067
35;6;29;18.712000000000018;18.0;14.968024024024025;3.868853063121424;0.39846688944577613
36;6;30;18.481999999999996;18.0;15.236912912912913;3.9034488485072933;0.4005874263174356
37;6;34;18.45400000000001;18.0;16.702586586586573;4.0868798106362965;0.40615696690969777
38;6;32;18.677999999999983;19.0;15.283599599599599;3.9094244588685427;0.40044566624269645
39;6;32;18.62400000000001;19.0;15.490114114114112;3.935748227988436;0.4003761892213222
40;6;28;18.561000000000007;18.0;14.070349349349357;3.7510464339100573;0.3941907537314285
41;6;30;18.586;19.0;13.636240240240243;3.6927280214280938;0.3927969832123696
42;6;30;18.689000000000007;19.0;14.350629629629637;3.788222489457244;0.39616625697457997
43;6;31;18.556000000000004;19.0;13.944808808808816;3.7342748705483393;0.3936464344365361
44;6;30;18.547999999999995;18.0;14.926622622622617;3.863498754059928;0.39862514180317127
45;6;31;18.769999999999996;19.0;15.046146146146155;3.878936213209255;0.3993628970682622
46;6;29;18.855999999999995;19.0;13.668932932932933;3.697152002952128;0.39202564637804405
47;5;30;18.974;19.0;13.242566566566564;3.6390337407842983;0.38886314629179014
48;5;30;18.861999999999977;19.0;14.403359359359357;3.7951758008502527;0.3967212350824007
49;5;30;18.854;19.0;14.409093093093094;3.795931123333654;0.3966320303903684
50;5;30;18.276000000000003;18.0;14.634458458458456;3.8255010728607117;0.39774423650820695
51;5;31;18.44699999999999;18.0;14.595786786786793;3.820443270981365;0.39735571657803037
52;5;32;18.63900000000003;19.0;14.901580580580573;3.8602565433634815;0.3988709645662281
53;5;31;18.68099999999999;19.0;14.866105105105106;3.8556588418978546;0.39881082078364855
54;5;31;18.702999999999967;19.0;14.539330330330326;3.8130473810759717;0.39682070899019584
55;5;30;18.82399999999999;19.0;13.684708708708703;3.699284891530889;0.3929927637700475
56;5;30;18.776999999999976;19.0;14.42769869869869;3.7983810628606878;0.396691754699813
57;5;30;18.68699999999999;19.0;15.43246346346346;3.9284174247988797;0.40140675120056557
58;5;31;18.67800000000002;19.0;16.352668668668667;4.043843304168531;0.40549113483610844
59;5;30;18.546999999999997;19.0;14.642433433433427;3.826543274736799;0.39801733343195717
60;5;30;18.76999999999998;19.0;14.403503503503503;3.79519479124636;0.39569800658614585
61;5;30;18.59700000000002;19.0;14.815406406406407;3.849078643832366;0.39813856584381574
62;5;30;18.77100000000003;19.0;16.59315215215216;4.073469301731898;0.4061621375683228
63;5;30;18.548000000000023;19.0;15.112808808808799;3.8875196216622236;0.40031142074510667
64;5;31;18.701999999999977;19.0;16.689885885885882;4.085325676844612;0.40631069636278144
65;5;31;18.470000000000013;18.0;16.77987987987987;4.096325167742409;0.4065370288935716
66;5;31;18.24000000000002;18.0;14.94134134134135;3.865403127920987;0.3994212270386181
67;5;31;18.692999999999998;18.0;15.986737737737746;3.9983418735443004;0.40378400756175625
68;5;31;18.601;19.0;15.999798798798796;3.9999748497707825;0.4041324618504946
69;5;32;18.63599999999998;19.0;17.100604604604595;4.135287729361114;0.4083161143453252
