gen;best;worst;mean;median;variance;std_dev;diversity
1;10;30;19.646999999999984;20.0;10.615006006005995;3.2580678332419652;0.37528970389455407
2;8;28;19.210999999999984;19.0;11.329808808808822;3.3659781355215044;0.3796355594449769
3;8;29;19.095000000000013;19.0;11.739714714714719;3.426326708694709;0.3821934438319738
4;8;28;19.054999999999993;19.0;10.546521521521539;3.2475408421637346;0.37352929262859197
5;5;29;18.811000000000014;19.0;11.702981981981972;3.420962142728559;0.38142138826886524
6;5;32;18.906000000000006;19.0;11.212376376376374;3.348488670486489;0.37720295033555606
7;5;29;18.781;19.0;11.816855855855852;3.437565396593329;0.3810539785177786
8;5;29;19.023999999999965;19.0;10.682106106106104;3.268349140790516;0.37461523557805243
9;5;31;18.862999999999985;19.0;11.257488488488486;3.3552180984979927;0.37918984071078266
10;5;31;18.656000000000024;19.0;10.924588588588586;3.3052365404897404;0.3760027267962953
11;5;30;18.73800000000002;19.0;11.949305305305318;3.4567767219340793;0.38254426571113204
12;5;29;18.659000000000017;19.0;11.712431431431446;3.42234297396264;0.3811287016938589
13;5;30;18.782999999999998;19.0;12.194105105105104;3.4920058856057365;0.38352435415815594
14;5;29;18.63000000000001;19.0;13.066166166166157;3.6147152261507625;0.3899109046595669
15;5;29;18.65599999999998;19.0;12.171835835835846;3.4888158214264977;0.383748920208585
16;5;31;18.460999999999977;18.0;12.859338338338336;3.5859919601608614;0.3881987981536962
17;5;31;18.63500000000002;18.0;13.823598598598592;3.7180100320734195;0.39303023308423485
18;5;31;18.558000000000007;19.0;13.195831831831834;3.632606754361368;0.38961777932847397
19;5;31;18.43699999999998;18.0;13.105136136136126;3.620101674834027;0.3893430708207995
20;5;36;18.864000000000004;19.0;11.879383383383386;3.4466481374493956;0.38110110469631864
21;5;30;18.653;19.0;12.71730830830832;3.566133523623074;0.38751717623049314
22;5;30;18.88899999999997;19.0;13.998677677677675;3.7414806798482436;0.3932259291647817
23;5;31;18.36200000000003;18.0;14.077033033033024;3.751937237352595;0.3952973883665211
24;5;30;18.348999999999975;18.0;13.841040040040044;3.7203548271690488;0.39364316177079545
25;5;28;18.40999999999997;18.0;13.143043043043049;3.6253335078366304;0.38946239819545403
26;5;30;18.405000000000037;18.0;13.238213213213212;3.638435544738042;0.39055173618497246
27;5;32;18.392999999999994;18.0;15.027578578578584;3.8765420903917174;0.39925257777166
28;5;32;18.47400000000002;18.0;15.086410410410407;3.884122862424721;0.3988870796155701
29;5;29;18.334999999999987;18.0;15.45623123123122;3.931441368153825;0.4009208899514261
30;5;31;18.201999999999998;18.0;14.535731731731746;3.8125754722669747;0.3974255604786395
31;5;31;18.051999999999996;18.0;14.665961961961965;3.829616424912809;0.397479393951716
32;5;31;18.372000000000007;18.0;14.64426026026025;3.826781971874051;0.39749580152902175
33;5;31;18.088999999999984;18.0;13.814893893893897;3.7168392343352568;0.39243176017965864
34;5;30;18.511999999999986;18.0;14.800656656656669;3.8471621562726814;0.3984806255493444
35;5;31;18.421000000000017;18.0;14.01577477477477;3.7437647862512367;0.39449478981365643
36;5;30;18.341999999999988;18.0;14.44147747747748;3.800194399958702;0.39653411700135865
37;5;28;18.23699999999998;18.0;13.66249349349349;3.6962810355130586;0.3927490963043243
38;5;31;18.467000000000017;18.0;15.005916916916917;3.873747141582284;0.39849497868961486
39;5;32;18.54200000000002;18.0;15.473709709709718;3.933663649793881;0.40040999218826484
40;5;34;18.466000000000015;18.0;15.728572572572565;3.9659264456836016;0.40217272841165586
41;5;30;18.43599999999999;18.0;15.359263263263262;3.919089596228091;0.40135462427548085
42;5;30;18.449999999999992;18.0;15.841341341341337;3.9801182572055995;0.402769822098267
43;5;32;18.453000000000017;18.0;14.662453453453459;3.8291583218056497;0.3971079950913171
44;5;31;18.456000000000024;18.0;15.509573573573581;3.9382195943819056;0.4005982531718912
45;5;30;18.215999999999994;18.0;15.841185185185179;3.9800986401325757;0.4031189787992334
46;5;31;18.51600000000001;18.0;17.579323323323305;4.192770363771823;0.40996232182273107
47;5;32;18.221999999999994;18.0;17.324040040040035;4.162215760870649;0.4094942611607599
48;5;30;18.21400000000001;18.0;15.541745745745748;3.9423020870737124;0.4006207135034706
49;5;31;18.186;18.0;16.213617617617622;4.026613666297975;0.40405261133779197
50;5;30;18.153;18.0;17.318909909909937;4.161599441309788;0.4076853007526215
51;5;30;18.148999999999997;18.0;16.8056046046046;4.099463941127498;0.4061270333080536
52;5;33;18.582999999999977;18.0;17.941052052052047;4.2356879077727205;0.4112457197396036
53;5;32;18.401000000000007;18.0;16.616815815815816;4.076372874973021;0.40522060384063663
54;5;31;18.339000000000006;18.0;16.906985985985983;4.111810548406381;0.4088028138591825
55;5;30;18.770999999999972;19.0;16.69725625625625;4.086227631478238;0.4046662123844334
56;5;31;18.608;19.0;15.379715715715713;3.921698065343087;0.40065932662624876
57;5;32;18.667000000000016;19.0;16.646757757757765;4.08004384262691;0.4057261591479306
58;5;33;18.561;18.0;17.203482482482475;4.147708099961046;0.40873566405234873
59;5;30;18.57600000000001;18.0;16.34456856856855;4.042841645250102;0.40438627385311243
60;5;32;18.53299999999999;18.0;16.243154154154155;4.030279662027706;0.40440569034219387
61;5;31;18.550000000000015;18.0;17.126626626626624;4.13843287086146;0.4078697281035356
62;5;31;18.482000000000003;18.0;16.201877877877873;4.025155633994526;0.4049816199172348
63;5;29;18.390999999999988;18.0;17.10722622622623;4.136088275922823;0.4070441862119958
64;5;30;18.713999999999974;19.0;17.289493493493485;4.158063671168767;0.4069858637957705
65;5;32;18.769000000000002;19.0;18.492131131131135;4.300247798805452;0.4132511597418109
66;5;32;18.430999999999983;18.0;16.54778678678679;4.06789709638614;0.40395763111302385
67;5;30;18.62799999999999;18.0;17.082698698698703;4.13312214901746;0.4082793548912815
68;5;32;18.409999999999965;18.0;16.74064064064063;4.0915327984314915;0.4063732907950572
69;4;32;18.64399999999998;19.0;17.96522922922923;4.238540931644901;0.4117494695398135
70;4;32;18.540000000000006;18.0;18.36076076076076;4.2849458293846325;0.4128862448016759
71;4;32;18.46700000000001;18.0;16.755666666666666;4.093368620911958;0.4073369850684036
72;4;30;18.51800000000002;18.0;20.167843843843855;4.490862260618093;0.41899788444103075
73;4;31;18.35000000000001;18.0;18.8043043043043;4.336393006209688;0.41493499370576914
74;4;31;18.52099999999996;18.0;18.61417317317318;4.314414580586013;0.41455941274427316
75;4;30;18.784999999999997;18.0;18.45322822822823;4.295722084612578;0.4118366740395293
76;4;31;18.843000000000014;19.0;18.69504604604604;4.3237768265772045;0.4142119091587928
77;4;32;18.81100000000002;19.0;20.219498498498485;4.496609667126832;0.4191070652262996
78;4;32;18.736000000000015;19.0;20.268572572572584;4.50206314622225;0.4181445145757245
79;4;31;18.625999999999998;18.0;18.806930930930946;4.336695854095713;0.41251576522009475
80;4;31;18.722;19.0;20.41713313313313;4.518532187904954;0.4201649674507128
81;4;32;18.391000000000012;18.0;18.374493493493475;4.286547969344736;0.4123288662527303
82;4;33;18.51700000000001;18.0;19.238949949949948;4.386222742856312;0.41438449660331783
83;4;32;18.43100000000001;18.0;19.044283283283274;4.363975628172467;0.4140059195720704
84;4;32;18.039000000000016;18.0;21.27074974974976;4.612022305859953;0.4229003464577647
85;4;31;18.587999999999994;18.0;21.54379979979981;4.641529898621769;0.42228501161269183
86;4;35;18.236000000000008;18.0;21.968272272272273;4.687032352381651;0.42544063523704223
87;4;31;18.444000000000003;18.0;22.903767767767754;4.7857881030994;0.4282497212166504
88;4;32;18.24100000000001;18.0;21.536455455455457;4.640738675626484;0.4238182243890438
89;4;34;18.82199999999998;18.0;20.232548548548543;4.498060531890221;0.41927427535016787
90;4;32;18.911999999999992;19.0;20.833089089089093;4.564327890181542;0.42199988687956336
91;4;32;18.560999999999986;18.0;20.142421421421428;4.488030906914682;0.41938759192521713
92;4;31;18.47300000000002;18.0;19.751022022022028;4.444212193631401;0.4191437866542427
93;4;33;18.52599999999999;18.0;21.208532532532523;4.605272253899059;0.42234505999645
94;4;33;18.848999999999954;19.0;22.05024924924924;4.6957692925919226;0.425365351913919
95;4;31;19.162;19.0;19.751507507507494;4.444266813267121;0.41871528906700267
96;4;31;18.414000000000005;18.0;22.072676676676668;4.698156731812666;0.42443908736912633
97;4;32;18.732;19.0;20.60478078078077;4.5392489225400245;0.42094801687407396
98;4;33;18.610000000000003;18.0;22.794694694694687;4.774378985239304;0.42748125161173767
99;4;31;18.517999999999954;18.0;21.365041041041017;4.622233339094968;0.4237191077492615
100;4;30;18.604000000000003;18.0;21.410594594594606;4.627158371462404;0.4240941236684121
101;4;30;18.287000000000006;18.0;20.074705705705693;4.480480521741579;0.4188375400168208
102;4;31;18.66999999999999;18.0;21.456556556556546;4.632122251901016;0.42372498764838595
103;4;30;18.06600000000001;18.0;18.88653053053053;4.345863611588671;0.4145027706420602
104;4;32;18.381000000000018;18.0;22.52436336336337;4.7459839194168545;0.42579834091466096
105;4;33;18.36000000000003;18.0;22.07647647647648;4.6985611070280315;0.42691890199800936
106;4;32;18.40600000000004;18.0;21.362526526526526;4.621961328973505;0.42455691350010216
107;4;33;18.81799999999998;19.0;20.85973573573573;4.567245968385732;0.4217900413593493
108;4;31;18.844000000000026;18.0;20.267931931931923;4.501991995987101;0.41860675949275933
109;4;34;18.273000000000003;18.0;20.63710810810812;4.542808394386464;0.42181308641764864
110;4;32;18.703000000000024;18.0;20.064855855855846;4.479381191175389;0.418689575482199
111;4;30;18.79000000000006;19.0;19.53343343343342;4.419664402806329;0.4172566878026942
112;4;30;18.405000000000033;18.0;18.48946446446446;4.299937727975193;0.41311227489229796
113;4;30;18.856999999999996;19.0;20.991542542542533;4.581652817765935;0.42194703820832247
114;4;34;18.867999999999977;19.0;20.555131131131137;4.5337766962137795;0.42019383759138057
115;4;31;18.789000000000012;19.0;19.856335335335334;4.456044808497254;0.4178619183566844
