gen;best;worst;mean;median;variance;std_dev;diversity
1;8;28;18.712999999999976;19.0;10.07870970970971;3.1746983651537213;0.3709603250691066
2;8;29;17.95999999999998;18.0;10.006406406406404;3.1632904397804515;0.3706812688790279
3;8;30;17.626000000000012;18.0;10.49862262262263;3.2401578082899958;0.37395178346597724
4;6;27;17.45199999999997;17.0;10.350046046046039;3.217148744781012;0.37314440654280734
5;6;28;17.246;17.0;9.104588588588586;3.0173810811013886;0.36333794503035466
6;6;26;17.00799999999998;17.0;9.24117717717718;3.0399304559771068;0.3647554378806641
7;6;26;16.724000000000004;17.0;9.893717717717717;3.1454280658946434;0.36981902953232126
8;5;28;16.700000000000006;17.0;10.462462462462465;3.2345729953832336;0.37362692259524277
9;5;28;16.476000000000003;16.0;8.728152152152138;2.9543446231189985;0.3600260043305184
10;5;26;16.34599999999997;16.0;10.020304304304306;3.1654864245964327;0.3705070172970142
11;5;24;16.178000000000015;16.0;9.137453453453455;3.022822100860958;0.36367878942331094
12;5;30;16.252000000000006;16.0;10.398894894894896;3.2247317554945396;0.3721853751481786
13;4;28;15.91900000000001;16.0;10.052491491491502;3.1705664307015398;0.3709840394378215
14;4;25;15.70300000000002;16.0;10.383174174174178;3.2222933097677773;0.3723959092304559
15;4;26;15.710999999999995;16.0;10.211690690690697;3.1955736090240037;0.3717007784894142
16;4;28;15.629999999999994;16.0;10.243343343343337;3.200522354763881;0.37150436956561805
17;4;25;15.687999999999983;16.0;10.296952952952937;3.208886559689036;0.37290305326620676
18;4;24;15.659999999999997;16.0;10.010410410410403;3.1639232624086198;0.36971471143547
19;4;25;15.58999999999999;16.0;9.455355355355353;3.0749561550297515;0.36660396470798723
20;4;26;15.487000000000009;16.0;10.021852852852845;3.1657310139765262;0.37122963297974104
21;4;27;15.40799999999999;15.0;10.095631631631635;3.1773623702108065;0.37120993610779274
22;4;26;15.383999999999999;15.0;9.716260260260256;3.11709163488343;0.3682008730373196
23;4;24;15.12999999999999;15.0;9.500600600600597;3.082304430227585;0.36657432990041416
24;4;29;15.146999999999997;15.0;9.687078078078075;3.112407119590571;0.3667192429419832
25;4;25;15.218000000000014;15.0;10.100576576576566;3.178140427447561;0.37128683375568156
26;4;24;15.248999999999997;15.0;10.605604604604599;3.2566247257865926;0.3746400640309611
27;4;25;15.239000000000003;15.0;9.897776776776778;3.146073231311817;0.3696348335272198
28;4;26;15.074000000000014;15.0;11.195719719719715;3.346000555845697;0.37845357972507554
29;4;27;15.035000000000004;15.0;10.4262012012012;3.228962867733415;0.3728874638293043
30;4;27;14.889000000000001;15.0;10.118797797797798;3.181005783993138;0.370496529405644
31;4;25;14.687;15.0;10.757788788788796;3.2799068262358912;0.37542179310311435
32;4;25;14.69900000000002;15.0;11.357756756756762;3.3701271128485293;0.37987706670641036
33;4;25;14.652;15.0;10.050946946946961;3.1703228458544976;0.37030326349484904
34;4;26;14.501999999999997;14.0;11.333329329329336;3.366501051437432;0.3782229127748957
35;4;24;14.412999999999993;14.0;10.897328328328328;3.3011101660393476;0.37694416272499115
36;3;27;14.295000000000009;14.0;11.107082082082085;3.3327289241824163;0.377799197883942
37;3;24;14.12699999999999;14.0;11.838709709709716;3.440742610209272;0.38259153939125523
38;3;24;13.356999999999998;13.0;10.546097097097093;3.2474754959964045;0.3740638010096784
39;3;25;12.775000000000004;13.0;10.608983983983977;3.2571435313759167;0.37334946886729997
40;3;23;12.112999999999994;12.0;11.061292292292302;3.325852115216836;0.3765579073159603
41;3;22;11.595000000000002;11.0;11.854829829829837;3.4430843483466735;0.38056875937418705
42;3;24;10.928999999999997;11.0;11.557516516516515;3.3996347622232177;0.378816114646442
43;3;21;10.078;10.0;12.16207807807807;3.4874171069830564;0.3808988780057803
44;3;22;9.315000000000007;9.0;13.681456456456452;3.6988452869046107;0.383253627769427
45;2;21;8.239000000000004;8.0;13.659538538538541;3.695881293891694;0.37192184653097515
46;2;21;7.562999999999995;6.0;16.26429529529529;4.032901597521974;0.3661933903113958
47;2;21;6.814000000000004;5.0;14.806210210210214;3.8478838613204287;0.3619966598526824
48;2;23;6.551999999999998;5.0;17.915211211211204;4.232636437400595;0.36916674098385494
49;2;20;6.109999999999997;4.0;19.115015015015025;4.37207216489104;0.3523601456617767
50;2;21;5.847000000000001;4.0;20.24183283283283;4.499092445464178;0.3264299195101331
51;2;21;5.858000000000001;4.0;21.24908508508509;4.60967299112259;0.3168632471931269
52;2;24;5.967000000000002;4.0;22.594505505505488;4.753367806671969;0.3193348562000783
53;2;21;5.6700000000000035;3.0;21.278378378378388;4.612849268985318;0.30411123280124663
54;2;20;5.882;4.0;21.970046046046043;4.687221569975762;0.3100173144922732
55;2;23;5.976999999999992;4.0;23.247718718718712;4.821588816844372;0.3105020291151658
56;0;24;6.133999999999996;4.0;22.51656056056056;4.745161805519445;0.3217473151872114
