gen;best;worst;mean;median;variance;std_dev;diversity
1;6;47;27.607000000000024;27.0;43.04359459459458;6.560761738898509;0.47116250543017413
2;6;49;29.010999999999996;29.0;39.304183183183184;6.2693048405053;0.4682628862403204
3;6;51;29.309000000000005;29.0;47.332851851851814;6.8798874883134395;0.4802617680519411
4;6;47;28.85600000000002;28.0;44.123387387387396;6.642543743731568;0.4748681017558163
5;6;54;28.157999999999983;28.0;45.91895495495494;6.776352629177066;0.47862867574606904
6;6;50;25.531999999999986;25.0;47.148124124124095;6.866449164169505;0.48002315206959634
7;4;46;21.96200000000004;21.0;54.29685285285286;7.368639823797392;0.48622588296385666
8;4;35;15.276999999999997;15.0;24.89516616616618;4.989505603380578;0.42959639029757424
9;4;25;11.757999999999992;11.0;16.768204204204224;4.094899779506725;0.39815557560637915
10;4;23;10.029000000000002;9.0;16.790949949949955;4.0976761646023165;0.38279508577056515
11;2;24;8.493000000000006;7.0;18.35630730730731;4.284426135120935;0.3587595766341944
12;2;22;7.7089999999999925;6.0;20.773092092092085;4.557750771169052;0.3165900549150967
13;2;23;7.435000000000006;4.0;22.211986986986982;4.712959472241087;0.28405875068386444
14;2;21;7.150999999999994;4.0;20.3985975975976;4.51648066503086;0.3000142199931595
15;2;22;6.830999999999995;4.0;21.493932932932935;4.636154972920226;0.33917259481296674
16;2;22;6.450999999999998;4.0;26.728327327327364;5.169944615499025;0.3263240387635719
17;2;23;6.4259999999999975;2.0;30.6491731731732;5.5361695397786725;0.29953710422033986
18;2;22;6.002999999999999;2.0;28.279270270270274;5.3178257089030545;0.2822644830719851
19;2;22;6.031;2.0;28.428467467467463;5.331835281351766;0.2835040081476808
20;2;23;6.003;2.0;29.094085085085094;5.393893314210533;0.28128728481768317
21;2;23;6.051000000000005;2.0;29.03143043043043;5.388082259063092;0.2824307754885141
22;2;23;6.109999999999998;2.0;29.185085085085063;5.402322193750115;0.2826410594987437
23;2;21;5.998;2.0;26.68668268268268;5.1659154738228805;0.2820451425567464
