gen;best;worst;mean;median;variance;std_dev;diversity
1;9;31;19.894999999999992;20.0;9.999974974974972;3.162273703362024;0.369247989860672
2;9;30;19.788999999999987;20.0;9.105584584584587;3.0175461197112776;0.3632537252184015
3;9;30;19.696000000000044;20.0;10.504088088088091;3.241001093503069;0.3740838609582233
4;9;31;19.71599999999998;20.0;11.13047447447448;3.336236573517304;0.3780590922727313
5;9;29;19.71700000000002;20.0;9.926837837837835;3.1506884704517892;0.3702076424145463
6;9;29;19.55500000000001;19.0;10.029004004004;3.1668602754153836;0.3705513040663122
7;8;30;19.857000000000003;20.0;10.30285385385386;3.209805890369986;0.3719514513259226
8;8;29;19.727000000000036;20.0;9.726197197197196;3.1186851712215513;0.36873807924558555
9;8;30;19.55499999999999;20.0;10.969944944944949;3.3120907211223773;0.3773491823545243
10;8;29;19.51900000000001;19.0;10.071710710710716;3.173595864427403;0.3713008734649001
11;8;33;19.492;19.0;9.543479479479474;3.0892522524843247;0.3652912615479026
12;8;28;19.635999999999996;20.0;9.525029029029024;3.0862645753449307;0.3667477438535179
13;8;29;19.770000000000014;20.0;9.756856856856853;3.1235967820537995;0.36882918542261556
14;8;29;19.83100000000002;20.0;9.712151151151147;3.1164324396898366;0.36810495817478206
15;8;30;19.786999999999964;20.0;9.769400400400395;3.125604005692403;0.36774939904783566
16;8;30;19.83700000000003;20.0;10.370801801801806;3.220372928994685;0.3734794620766776
17;8;29;19.688000000000006;20.0;10.32097697697698;3.2126277370677387;0.3728683358952073
18;8;31;19.652000000000008;20.0;10.014910910910908;3.164634403989015;0.3706348227593344
19;8;31;19.750999999999994;20.0;9.576575575575571;3.094604268008362;0.36750925138994206
20;8;30;19.616999999999997;20.0;9.872183183183173;3.1420030527011225;0.36942698556757747
21;8;31;19.682000000000002;20.0;9.19407007007007;3.0321725000517485;0.3637939645083446
22;8;29;19.832999999999995;20.0;9.69080180180181;3.1130052685149456;0.36861586888337067
23;8;29;19.741000000000025;20.0;8.958877877877878;2.9931384662053104;0.3627167590067371
24;8;28;19.64800000000002;20.0;10.07216816816818;3.1736679360273627;0.3703505923250933
25;8;30;19.70399999999999;20.0;9.121505505505517;3.0201830251667725;0.36410506652166674
26;8;30;19.62799999999998;20.0;10.34996596596596;3.2171362989413366;0.3720718203333374
27;8;29;19.56600000000001;20.0;10.055699699699696;3.1710723264693437;0.3709272042525288
28;8;29;19.44799999999999;19.0;10.009305305305306;3.163748616010018;0.37069976229264034
29;8;29;19.494999999999962;20.0;9.481456456456451;3.079197372117684;0.36663790524413165
30;8;31;19.562;20.0;10.96512112112111;3.311362426724249;0.3771886171764281
31;8;30;19.75199999999999;20.0;9.938434434434422;3.1525282606876694;0.3695569045858516
32;8;29;19.48199999999999;20.0;9.983659659659663;3.159692969207556;0.37035333819656885
33;8;28;19.65299999999998;20.0;9.66225325325326;3.108416518623793;0.3677201084478436
34;8;30;19.88299999999999;20.0;9.761072072072077;3.1242714466051242;0.36829484760042697
35;8;30;19.697000000000013;20.0;10.693884884884897;3.2701505905515877;0.37606911404978705
36;8;29;19.605999999999995;20.0;10.529293293293291;3.244887254326919;0.37440837708997443
37;8;29;19.397000000000006;19.0;10.19959059059059;3.1936797883617873;0.37176237682166874
