gen;best;worst;mean;median;variance;std_dev;diversity
1;9;30;19.50299999999999;19.5;10.746737737737735;3.278221734071345;0.37517507206938105
2;8;30;19.365;19.0;10.762537537537542;3.2806306615554184;0.3756944125109992
3;8;28;19.194999999999997;19.0;10.309284284284283;3.210807419370443;0.3726200530558349
4;8;29;19.06999999999997;19.0;10.996096096096098;3.316036202470669;0.3779662078232164
5;8;30;19.083000000000002;19.0;12.298409409409405;3.506908811105502;0.38563423685938586
6;8;29;19.046000000000046;19.0;11.339223223223218;3.3673763114958235;0.3800274324541504
7;8;31;18.986999999999977;19.0;11.041872872872878;3.3229313674635046;0.3774220727697083
8;7;29;18.986000000000015;19.0;12.330134134134134;3.5114290729180526;0.38542283194382926
9;7;28;18.739;19.0;11.722601601601612;3.423828500611795;0.3812333211769858
10;7;30;18.759000000000043;19.0;11.610529529529527;3.4074227107198674;0.38129891489991796
11;7;30;18.845000000000006;19.0;13.600575575575585;3.687895819512203;0.3927373765133651
12;7;30;18.80200000000001;19.0;13.288084084084085;3.645282442292241;0.3902010107725887
13;7;29;18.68200000000001;19.0;12.995871871871868;3.604978761639501;0.3895722472141108
14;7;30;18.62099999999999;19.0;13.612971971971982;3.689576123617994;0.3915905653931133
15;6;32;18.67799999999999;19.0;14.634950950950953;3.825565441990367;0.39809335227228915
16;6;30;18.56499999999999;18.0;13.633408408408425;3.692344567941679;0.39176242535005296
17;6;30;18.81300000000001;19.0;14.284315315315318;3.779459659172898;0.39585189030820267
18;6;30;18.573000000000008;18.0;14.987658658658662;3.8713897580402135;0.3979660981370348
19;6;31;18.85399999999996;19.0;15.628312312312302;3.953266031057397;0.40206367406856597
20;6;31;18.54300000000001;18.0;15.413564564564568;3.926011279220243;0.4010753384193079
21;6;30;18.443000000000012;18.0;14.451202202202204;3.8014736882164795;0.3961793416629784
22;6;30;18.421999999999997;18.0;15.379295295295288;3.92164446314238;0.40105042591352175
23;6;28;18.561000000000003;19.0;14.749028028028029;3.840446331877068;0.3979755307354245
24;6;31;18.500999999999998;18.0;15.44944844844845;3.9305786404101433;0.40081277366004947
25;6;29;18.28299999999999;18.0;14.337248248248258;3.786455895457949;0.3959774287829339
26;6;31;18.29499999999997;18.0;14.850825825825824;3.8536769228654633;0.3982565524142674
27;6;31;18.46500000000001;18.0;14.499274274274278;3.807791259283297;0.3965085174190663
28;6;31;18.514;18.0;14.76256656656656;3.84220855323687;0.39735527895777073
29;6;30;18.719000000000015;19.0;15.311350350350343;3.9129720610234804;0.4011060746366717
30;6;30;18.314000000000036;18.0;14.844248248248247;3.8528234125441365;0.398887221252958
31;6;32;18.140000000000004;18.0;15.4018018018018;3.92451293816211;0.4015397819974605
32;6;30;18.204;18.0;16.068452452452437;4.008547424248893;0.40354019377677863
33;6;30;18.435999999999982;18.0;15.20510910910911;3.8993729122910405;0.4005383948728376
34;6;30;18.077999999999985;18.0;15.675591591591607;3.95924128989275;0.40171734915603063
35;6;30;18.25099999999998;18.0;16.162161161161155;4.020219043927974;0.4038861688954704
36;6;32;18.333000000000006;18.0;15.363474474474483;3.919626828471619;0.40119463686374196
37;6;30;18.229999999999993;18.0;16.958058058058047;4.1180162770511295;0.40776150972282654
38;6;30;18.53100000000002;18.0;17.542581581581576;4.188386512916588;0.4094188256977312
39;6;31;18.683999999999987;18.0;17.5356796796797;4.187562498599836;0.40896702625668846
40;6;29;18.054999999999986;18.0;14.764739739739735;3.842491345434591;0.398104491501028
41;6;30;18.228000000000023;18.0;16.568584584584595;4.070452626500472;0.40572304279523014
