gen;best;worst;mean;median;variance;std_dev;diversity
1;9;28;19.590000000000007;20.0;9.727627627627614;3.1189144950811993;0.3684720471013189
2;9;30;19.328999999999986;19.0;10.16292192192192;3.187933801370712;0.3719275995982945
3;9;29;19.512999999999998;20.0;9.47730830830831;3.0785237222260133;0.36615057971942755
4;9;29;19.466999999999995;20.0;10.299210210210205;3.2092382601187786;0.372979323442724
5;9;31;19.221000000000004;19.0;10.122281281281278;3.181553281226212;0.37029725499281585
6;9;28;19.15600000000001;19.0;9.929593593593601;3.1511257660705327;0.3698835000877424
7;9;29;19.176000000000002;19.0;10.267291291291292;3.204261426802016;0.3719759284375161
8;8;30;19.14799999999997;19.0;10.939035035035044;3.307421206171818;0.3772231775465711
9;8;29;19.487999999999964;20.0;9.953809809809812;3.1549658967744505;0.37032845856320373
10;8;30;19.388000000000016;19.0;11.504960960960956;3.391896366483056;0.38111608681647413
11;7;31;19.323000000000043;19.0;10.561232232232234;3.249804952952136;0.37415064999099507
12;7;29;19.389;19.0;10.257936936936936;3.2028014201534467;0.372135123625015
13;7;29;19.411000000000005;19.0;10.468547547547551;3.2355134905525507;0.37386083490900085
14;7;29;19.37299999999999;19.0;10.80267367367368;3.2867421063529885;0.37565226638828225
15;6;30;19.384000000000007;19.0;10.192736736736737;3.192606574060878;0.3709367732536541
16;6;29;19.380999999999958;20.0;10.08792692692693;3.1761497015926263;0.37111744598114793
17;6;29;19.133;19.0;10.177488488488496;3.1902176240012996;0.37097714511949464
18;6;30;19.27699999999998;19.0;11.129400400400394;3.336075598723805;0.37868367724225543
19;6;30;19.32199999999997;19.0;11.175491491491485;3.342976441958795;0.37854048733184936
20;6;29;19.14800000000003;19.0;10.366462462462453;3.219699126077226;0.3715026252937939
21;6;29;19.156000000000006;19.0;10.960624624624627;3.3106834074892495;0.3773833962758049
22;6;28;19.338999999999995;19.0;11.325404404404404;3.3653238186546632;0.3793197817332311
23;6;29;19.294;19.0;9.81938338338339;3.1335895365193234;0.3684637412095073
24;6;30;19.22299999999999;19.0;10.611882882882885;3.2575885072984407;0.3736786675551094
25;6;30;19.551999999999996;20.0;11.062358358358365;3.326012380968893;0.3779341921388394
26;6;31;19.218000000000004;19.0;10.25272872872872;3.2019882461884084;0.37215092478903017
27;6;30;19.26;19.0;10.358758758758755;3.218502564665555;0.3726644961056542
28;6;28;19.27000000000001;19.0;11.568668668668677;3.40127456531646;0.3807596937682904
29;6;29;19.291999999999994;19.0;9.994730730730728;3.1614444057630884;0.37049541471500974
30;6;29;19.241000000000025;19.0;10.211130130130119;3.1954858989096038;0.3699861731141881
31;6;33;19.368000000000006;19.0;10.441017017017014;3.231256259880515;0.372031642329459
32;6;29;19.273000000000017;19.0;10.49296396396396;3.2392844833333116;0.3744109894871686
33;6;30;19.375000000000004;19.0;10.949324324324332;3.3089763257424996;0.37578605191467007
34;6;30;19.063999999999968;19.0;10.514418418418426;3.2425943962232506;0.3736905899685581
35;6;30;19.33100000000001;19.0;9.62706606606607;3.102751370326999;0.3668103677823054
36;6;30;19.274999999999995;19.0;11.536911911911911;3.396602995922825;0.3801235690541249
37;6;30;19.278999999999982;19.0;10.43359259259259;3.2301072106963553;0.37388458745737174
38;6;30;19.357000000000014;19.0;10.049600600600607;3.1701105029005863;0.3702715709672048
39;6;34;19.260000000000005;19.0;11.415815815815819;3.3787299116407365;0.37873952407595596
40;6;30;19.44900000000002;19.0;10.447846846846852;3.2323129252668052;0.3727750640029624
41;6;29;19.336;19.0;10.551655655655651;3.2483312108920868;0.37442917069856096
42;6;31;19.220000000000038;19.0;10.82842842842843;3.2906577501205483;0.37544793955572897
43;6;29;19.489000000000015;19.0;9.229108108108118;3.0379447177504924;0.3641818627697429
44;6;29;19.389999999999986;19.5;10.71861861861862;3.2739301487079135;0.3748387953427444
45;6;29;19.232999999999972;19.0;10.771482482482483;3.281993674960767;0.3758872673609166
46;6;28;19.349999999999994;19.0;10.427927927927934;3.2292302376770743;0.3730614251464161
47;6;28;19.289999999999964;19.0;10.324224224224228;3.2131330853583124;0.3724478423177137
48;6;28;19.239000000000022;19.0;10.6204994994995;3.2589107842190925;0.3749570915859617
49;6;29;19.144999999999992;19.0;11.363338338338329;3.3709551077310906;0.3786828949158309
50;6;29;19.12699999999999;19.0;10.737608608608609;3.2768290478156787;0.37567490975191087
51;6;30;19.12599999999999;19.0;10.644768768768758;3.262632184106685;0.3754638184963764
52;6;29;19.278000000000024;19.0;11.225941941941944;3.3505136832942415;0.37864742877763763
53;6;30;19.214999999999975;19.0;10.261036036036039;3.2032851943022553;0.3713206837450408
54;6;32;19.110000000000007;19.0;10.328228228228229;3.2137560934564138;0.37242854414278526
55;6;32;19.25099999999999;19.0;10.688687687687686;3.2693558521041552;0.3748948722907443
56;6;30;19.051;19.0;10.208607607607613;3.19509117359859;0.37166910212532056
57;6;29;19.492000000000033;20.0;11.653589589589586;3.4137354305202954;0.38079583943772266
58;6;33;19.398000000000003;19.0;11.346942942942947;3.368522367885205;0.3787356537314592
59;6;31;19.364999999999995;19.0;11.541316316316308;3.397251288367746;0.37997979358077216
60;6;31;19.391000000000023;19.0;11.269388388388396;3.3569909723424036;0.37844472220463593
61;6;29;19.081000000000007;19.0;11.806245245245243;3.4360217178075643;0.38237304800240374
62;6;28;19.118000000000006;19.0;10.234310310310311;3.1991108624601168;0.37229942378325803
63;6;31;19.16100000000001;19.0;12.247326326326327;3.499618025774574;0.38452362808732976
64;6;29;19.273000000000007;19.0;11.4258968968969;3.380221427199245;0.3797931529053218
65;6;29;19.15099999999999;19.0;10.911110110110114;3.303196952969973;0.3755426707223296
66;6;28;19.270999999999997;19.0;10.764323323323326;3.280902821377574;0.37514540185408035
67;6;30;19.311000000000003;19.0;10.484763763763766;3.2380184934252254;0.37370709952630593
68;6;31;19.299;19.0;10.898497497497498;3.301287248558886;0.37593870333768653
69;6;29;19.20900000000003;19.0;11.30061961961962;3.3616394243909653;0.3779364226349829
70;6;29;19.158;19.0;10.978014014014018;3.313308620399557;0.3767769049005558
71;6;29;19.29599999999999;19.0;11.10148548548548;3.3318891766512104;0.37770202648222484
72;6;29;19.279999999999998;19.0;10.510110110110105;3.2419299977189677;0.372475163136191
73;6;29;19.210000000000022;19.0;11.082982982982989;3.329111440457196;0.37782882245756444
74;6;29;19.240999999999957;19.0;11.1800990990991;3.3436655184242188;0.37778016376056195
75;6;31;19.11999999999999;19.0;11.521121121121118;3.3942777024163946;0.3805819450675539
76;6;30;19.20799999999999;19.0;11.17991591591591;3.343638125742065;0.3778698272734987
77;6;31;19.197000000000024;19.0;10.190381381381375;3.1922376762047926;0.37081062517650093
78;6;29;19.284999999999982;19.0;10.778553553553554;3.2830707506164947;0.37517414653870634
79;6;30;19.240999999999985;19.0;10.553472472472485;3.2486108527295916;0.37455507437584723
80;6;29;19.199999999999992;19.0;10.000000000000005;3.16227766016838;0.370116116573497
81;6;29;19.122000000000018;19.0;11.400516516516511;3.3764650918551653;0.38035745505587576
82;6;30;19.241;19.0;10.987906906906915;3.3148011866335083;0.37661309317675057
83;6;29;19.269999999999968;19.0;10.167267267267276;3.1886152585828342;0.3717503363071418
84;6;29;19.214000000000016;19.0;10.696900900900898;3.2706117013336966;0.37522283090612674
85;6;30;19.296999999999954;20.0;11.374165165165158;3.3725606243869297;0.3794148852886098
86;6;29;19.26399999999999;19.0;11.445749749749746;3.3831567728601857;0.37989118106210074
87;6;30;19.311;19.0;11.495774774774771;3.3905419588577237;0.3798375211093725
88;6;31;19.17699999999999;19.0;10.330001001001;3.214031891721207;0.3717448011721683
89;6;29;19.244000000000028;19.0;11.079543543543538;3.3285948301863866;0.37790797173074486
90;6;29;19.293999999999993;19.0;11.282846846846855;3.358994916168653;0.3788597626024101
91;6;28;19.053999999999988;19.0;11.000084084084095;3.3166374664838023;0.37674017446814867
92;6;29;19.10099999999998;19.0;9.914713713713718;3.148763838987249;0.3690798326868569
93;6;31;19.413000000000025;19.0;10.691122122122124;3.269728141928947;0.37445776141926546
94;6;30;19.07099999999999;19.0;11.689648648648651;3.41901281785381;0.38174196815574923
95;6;29;19.206999999999997;19.0;11.035186186186172;3.32192507233173;0.3773577234885733
96;6;29;19.085999999999988;19.0;10.036640640640647;3.168065756994423;0.3704379353557479
97;6;29;19.221000000000004;19.0;11.255414414414423;3.35490900240445;0.37869259150583173
98;6;29;19.13099999999999;19.0;11.49733633633633;3.3907722330372367;0.38102556074290345
99;6;29;19.36200000000001;19.0;11.61457057057056;3.408015635317796;0.38120554604546836
100;6;30;19.202999999999985;19.0;10.558349349349353;3.2493613756166537;0.37393567215212226
101;6;30;19.157999999999983;19.0;11.586622622622633;3.403912840044914;0.3808570925208052
102;6;32;18.982;19.0;11.184860860860855;3.344377499754006;0.37749243250399367
103;6;31;19.26300000000004;19.0;11.713544544544556;3.4225055945234852;0.38188322530360747
104;6;30;19.083999999999996;19.0;11.064008008008017;3.326260363833237;0.3772355397583518
105;6;30;19.096000000000032;19.0;11.75053453453454;3.4279052691891208;0.3822304987223087
106;6;29;19.227000000000004;19.0;10.752223223223217;3.2790582829866284;0.37530254946462765
107;6;29;19.091000000000008;19.0;11.472191191191193;3.3870623246688556;0.37977238911217714
108;6;29;19.054000000000023;19.0;11.702786786786778;3.4209336133264525;0.38129410625315613
109;6;32;19.26900000000001;19.0;10.829468468468466;3.290815775528686;0.37630413799412055
110;6;30;19.393999999999988;20.0;10.363127127127122;3.219181126797174;0.37289524701593435
111;6;29;19.256000000000014;19.0;10.356820820820822;3.2182014885368537;0.37289007075320557
112;6;31;19.267;19.0;10.966677677677671;3.311597451031401;0.3766470101677998
113;6;29;19.363000000000017;19.0;11.176407407407389;3.3431134302334686;0.37848482153338847
