gen;best;worst;mean;median;variance;std_dev;diversity
1;8;31;18.86300000000001;19.0;9.751982982982982;3.1228165144598203;0.3684454062758746
2;8;28;18.656000000000013;19.0;9.869533533533549;3.1415813746477346;0.3695607432824466
3;8;27;18.32000000000001;18.0;9.51711711711713;3.084982514880292;0.36723231521716176
4;8;27;17.97200000000001;18.0;9.238454454454459;3.0394825965046186;0.3654048369617257
5;7;27;17.68799999999997;18.0;9.56822422422422;3.093254632943143;0.36687298127353324
6;7;29;17.719000000000012;18.0;9.659698698698696;3.108005582153722;0.3673154785100397
7;7;28;17.617000000000008;18.0;10.230541541541546;3.1985217744360512;0.37238451408480955
8;7;30;17.274999999999995;17.0;9.969344344344352;3.157426854947609;0.37054640474545086
9;7;26;17.437999999999995;17.0;10.026182182182183;3.16641472049733;0.3706845088389145
10;7;27;17.368;17.0;8.761337337337332;2.9599556309744464;0.36157573558119827
11;7;26;17.35400000000002;17.0;9.816500500500501;3.1331295058615916;0.3692593498804713
12;7;28;17.11499999999998;17.0;10.161936936936936;3.1877793112034802;0.3711522040182549
13;7;27;17.091999999999977;17.0;9.424960960960966;3.070009928479217;0.36647983225349623
14;7;30;17.003999999999987;17.0;9.859843843843846;3.1400388283974845;0.3693597221833627
15;6;26;16.92100000000003;17.0;9.694453453453454;3.1135917287681525;0.3679684391997594
16;6;27;16.944000000000003;17.0;9.666530530530537;3.1091044579638263;0.36658561473218104
17;6;28;16.876999999999985;17.0;9.625496496496503;3.10249842812152;0.36775693067385284
18;6;26;17.17300000000001;17.0;9.158229229229228;3.026256636379213;0.36347618900318684
19;6;28;16.98200000000002;17.0;9.056732732732737;3.009440601296649;0.3629695754860929
20;6;26;16.996000000000002;17.0;8.928912912912917;2.988128664049277;0.3625165818518995
21;5;27;16.901999999999983;17.0;9.634030030030031;3.103873391430461;0.3674539585420655
22;5;27;16.816000000000003;17.0;10.080224224224215;3.1749368850772792;0.3716224369468586
23;5;27;16.819999999999997;17.0;9.210810810810806;3.0349317637816515;0.3647147575137188
24;5;28;16.78499999999999;17.0;10.068843843843839;3.173144157431843;0.369364603664536
25;5;26;16.746999999999986;17.0;9.340331331331333;3.056195564968206;0.3649393408877793
26;5;28;16.764000000000014;17.0;9.685989989989993;3.1122323161984538;0.36753276712689903
27;5;28;16.816999999999997;17.0;9.85536636636637;3.1393257821332226;0.3687262592825678
28;5;25;16.613000000000003;17.0;9.032263263263271;3.0053724000967454;0.36253376054999614
29;5;28;16.614000000000004;17.0;9.570574574574584;3.093634525048908;0.3673175058323341
30;5;30;16.705999999999996;17.0;10.36592992992993;3.219616425900752;0.3723346296645489
31;5;26;16.502;16.5;9.375371371371369;3.061922822569401;0.36504270001484784
32;5;28;16.56999999999999;17.0;9.872972972972969;3.14212873271815;0.3695029846141008
33;5;26;16.286000000000005;16.0;9.36957357357357;3.0609759184896523;0.3660102242549174
34;5;27;16.476999999999993;17.0;9.955426426426422;3.1552220882889404;0.36969897529860807
35;5;25;16.526000000000018;17.0;9.41273673673673;3.068018372946409;0.36557351870698734
36;5;26;16.229999999999986;16.0;9.038138138138125;3.006349636708632;0.36381531420473395
37;5;27;16.401999999999994;16.0;9.638034034034032;3.104518325607699;0.36724115502958987
38;5;27;16.463999999999988;16.0;9.488192192192196;3.080290926550964;0.36692076209091745
39;5;25;16.590000000000007;17.0;8.618518518518517;2.935731343041886;0.3592462906729683
40;5;24;16.345000000000006;16.0;9.317292292292281;3.052424002705437;0.3654604109504334
41;5;27;16.537000000000006;17.0;9.520151151151152;3.0854742181958272;0.3666842444202646
42;5;25;16.53299999999999;17.0;9.242153153153149;3.0400909777756895;0.36465741747153246
43;5;27;16.563;17.0;9.761792792792798;3.124386786681956;0.3682483342261256
44;5;27;16.65799999999999;17.0;9.224260260260266;3.0371467301169806;0.3646568397861068
45;5;25;16.569999999999986;17.0;9.596696696696704;3.09785356282325;0.3669450648600227
46;5;27;16.371999999999993;16.0;9.006622622622615;3.001103567460246;0.3624178939935827
47;5;27;16.52800000000002;16.0;10.213429429429432;3.1958456516905556;0.372209551048604
48;5;27;16.381999999999998;16.0;9.507583583583585;3.0834369757761526;0.3670255599556882
49;4;25;16.24;16.0;9.632032032032035;3.103551519152217;0.3670084745275556
50;4;27;16.442999999999998;17.0;10.080831831831842;3.175032571774948;0.3703326997938326
51;4;29;16.462000000000007;16.0;9.732288288288284;3.1196615663062373;0.36633944269878455
52;4;26;16.360999999999997;16.0;9.293972972972975;3.048601806233962;0.3648518136799964
53;4;27;16.324999999999996;16.0;9.911286286286288;3.1482195422629418;0.3694977369508614
54;4;26;16.597000000000023;17.0;9.041632632632629;3.006930766185452;0.36215133585158477
55;4;28;16.302999999999997;16.0;9.684875875875878;3.1120533215026827;0.3682855994625176
56;4;25;16.534;16.0;9.562406406406419;3.09231408598907;0.36668368748328406
57;4;24;16.356;16.0;9.352616616616608;3.058204802922232;0.3649458583756131
58;4;27;16.447999999999997;17.0;9.721017017017019;3.1178545535379003;0.36823641858407785
59;4;27;16.255999999999997;16.0;9.722186186186196;3.118042043684818;0.36834273878729823
60;4;25;16.276999999999994;16.0;9.36964064064064;3.0609868736472294;0.3649811158959998
61;4;27;16.444000000000006;16.0;9.588452452452447;3.0965226387760265;0.3675795782899181
62;4;28;16.724999999999984;17.0;9.368743743743744;3.060840365609377;0.3654955460059652
63;4;26;16.720999999999993;17.0;9.810969969969971;3.132246792634637;0.36870121667262634
64;4;29;16.406000000000013;16.0;10.145309309309313;3.1851702166931855;0.3708290203643409
65;4;27;16.61200000000001;17.0;10.37983583583583;3.2217752615345208;0.372788376855064
66;4;27;16.68499999999998;17.0;9.577352352352348;3.0947297704892343;0.3671558282953779
67;4;27;16.543000000000006;17.0;10.134285285285285;3.1834392228037407;0.3714069475692899
68;4;27;16.534999999999993;16.0;9.404179179179176;3.066623416590171;0.3647951622503501
69;4;26;16.765000000000004;17.0;9.875650650650654;3.142554796761809;0.36895271335915
70;4;25;16.57700000000001;16.0;9.938009009009003;3.1524607862761753;0.3693248544879106
71;4;27;16.426999999999992;16.0;9.932603603603601;3.1516033385569955;0.36927377142197904
72;4;26;16.329000000000004;16.0;9.59635535535535;3.097798469131804;0.36755794841425493
73;4;25;16.45700000000002;16.5;9.733884884884882;3.1199174484086725;0.36840753935792775
74;4;26;16.30500000000001;16.0;9.983958958958956;3.159740330938439;0.36967473543279566
75;4;26;16.505;16.5;9.307282282282289;3.0507838799695874;0.3650358447975992
76;4;25;16.442;17.0;9.055691691691695;3.009267633775982;0.3620710769225364
77;4;26;16.278000000000002;16.0;9.33004604604604;3.0545124072503027;0.3650216094585436
78;4;25;16.20699999999998;16.0;9.83798898898898;3.1365568684449165;0.36837361653798395
79;4;25;16.149;16.0;9.61841741741742;3.1013573508090646;0.3662513151836769
80;4;26;16.149999999999988;16.0;9.683183183183184;3.111781352084877;0.3682149779333364
81;4;27;16.349999999999994;16.0;9.96546546546546;3.156812548357197;0.36954368267428445
82;4;26;16.29400000000001;16.0;9.445009009009018;3.0732733378287422;0.36641130273524286
83;4;29;16.34899999999999;16.0;10.251450450450449;3.2017886330066276;0.3716826333102554
84;4;26;16.177000000000003;16.0;9.619290290290285;3.1014980719468914;0.36782783714986406
85;4;27;16.307000000000016;16.0;10.03478578578578;3.1677730009875678;0.36931491426894597
86;4;26;16.515999999999995;16.0;9.69744144144144;3.1140715215680963;0.36778668977125295
87;4;26;16.549999999999983;17.0;9.356856856856856;3.0588979807860306;0.3652841861306389
88;4;26;16.67000000000001;17.0;9.87897897897898;3.143084309874455;0.36952065782435106
89;4;26;16.404000000000014;16.0;9.926710710710712;3.150668295887511;0.3702451635470186
90;4;28;16.312999999999985;16.0;9.896927927927926;3.1459383223337243;0.3696057432578957
91;4;25;16.37099999999999;16.0;9.951310310310308;3.1545697504271972;0.3697123872258283
92;4;27;16.389000000000006;16.0;9.312991991991991;3.051719513977651;0.36543867870625085
93;4;27;16.349000000000004;16.0;9.788987987987984;3.128735845031981;0.3682967194471889
94;4;26;16.340000000000007;16.0;9.34574574574574;3.0570812461800454;0.36485558694022924
95;4;25;16.123;16.0;9.793664664664664;3.1294831305927606;0.36886941590747074
96;4;26;16.247;16.0;9.897888888888886;3.1460910490462424;0.3697185013238111
