gen;best;worst;mean;median;variance;std_dev;diversity
1;9;29;18.514000000000017;18.0;8.93473873873874;2.9891033335665633;0.36239177514172566
2;8;28;17.91099999999999;18.0;10.065144144144138;3.172561133239853;0.37138857531407776
3;8;26;17.26899999999998;17.0;10.014653653653655;3.1645937580760117;0.3703486662713685
4;7;27;17.068;17.0;9.516892892892887;3.0849461734190577;0.36701283771926646
5;7;27;16.84899999999999;17.0;10.190389389389383;3.192238930498371;0.37208214766708614
6;7;28;16.796999999999983;17.0;9.701492492492488;3.1147218964929255;0.36817373165781875
7;7;27;16.585999999999988;17.0;10.27888288288288;3.2060696940152256;0.372900798826843
8;7;26;16.052999999999987;16.0;9.589780780780787;3.096737118449157;0.3678476655593499
9;6;26;16.16699999999999;16.0;10.019130130130131;3.1653009541163906;0.37056633050090704
10;6;25;16.294999999999995;16.0;10.748723723723725;3.278524626066384;0.3757992507623881
11;6;26;16.128999999999994;16.0;9.918277277277285;3.14932965522463;0.3700650056184209
12;6;29;15.931999999999997;16.0;10.74211811811812;3.2775170660300335;0.3754341828328704
13;6;25;15.961000000000006;16.0;10.880359359359355;3.2985389734486015;0.3762128515886858
14;6;28;16.018000000000004;16.0;10.89256856856857;3.30038915411025;0.37686153278996637
15;6;26;15.98799999999999;16.0;10.410266266266268;3.2264944237153528;0.3731640492813015
16;6;27;15.671;16.0;10.144903903903904;3.1851065765377307;0.37074454007309865
17;5;25;15.597999999999994;16.0;11.159555555555553;3.3405920965534768;0.378252664863922
18;5;26;15.62799999999999;16.0;10.534150150150149;3.245635554117275;0.3742250675152136
19;4;26;15.510999999999989;16.0;10.940819819819819;3.3076910103302906;0.37688445297553663
20;4;26;15.60800000000001;16.0;11.041377377377378;3.322856809640972;0.3773731363606848
21;4;27;15.128999999999994;15.0;10.739098098098102;3.2770563159790376;0.37479033578391546
22;4;25;14.853999999999996;15.0;11.470154154154153;3.3867616027931686;0.3791928707113927
23;3;24;14.209999999999997;14.0;13.315215215215222;3.649001947822887;0.38959957864377925
24;3;24;13.354000000000012;13.0;13.602286286286281;3.6881277480974384;0.3922261169183441
25;3;24;12.598000000000015;12.0;14.805201201201207;3.8477527468902166;0.3972267346966438
26;3;24;12.06899999999999;12.0;15.844083083083095;3.980462671987152;0.40195349061640295
27;2;24;12.061000000000007;12.0;17.937216216216207;4.235235083937633;0.4110640276909865
28;2;25;12.027999999999986;12.0;21.65286886886887;4.653264323984709;0.4192026206055418
29;0;24;10.370999999999995;10.0;31.70106006006006;5.630369442590784;0.4182034788263237
