gen;best;worst;mean;median;variance;std_dev;diversity
1;10;31;19.551999999999968;20.0;10.954250250250244;3.3097205698140506;0.37761890924049357
2;8;29;19.477;20.0;10.287758758758764;3.2074536253481147;0.3724515198637702
3;8;30;19.214;19.0;9.83804204204204;3.1365653256455603;0.36825723105092656
4;8;30;19.075999999999997;19.0;11.347571571571576;3.3686156758484005;0.3796942590466116
5;8;29;19.248999999999988;19.0;11.100099099099102;3.331681122061219;0.3775309117486923
6;8;30;19.01999999999997;19.0;11.55715715715716;3.399581909170179;0.3808889238017271
7;7;29;19.160999999999994;19.0;11.640719719719703;3.411849897008909;0.3814389682954255
8;7;32;18.99899999999999;19.0;13.436435435435447;3.6655743663763594;0.3918139097431067
9;7;31;19.068999999999992;19.0;12.110349349349338;3.479992722600054;0.3848845862335127
10;7;31;18.768999999999956;19.0;12.213852852852845;3.4948323068285903;0.38427953388193953
11;7;29;18.90800000000001;19.0;12.063599599599614;3.4732692955772397;0.38390462172693257
12;7;31;19.002;19.0;12.866862862862861;3.5870409619717005;0.3883807684499704
13;4;33;18.90299999999999;19.0;13.729320320320316;3.705309746879512;0.392072125269462
14;4;33;18.679;19.0;13.91387287287287;3.7301304096335386;0.39301980806886233
15;4;31;18.843999999999987;19.0;13.8354994994995;3.719610127351992;0.3932662805214788
16;4;31;18.988999999999987;19.0;14.129008008008013;3.7588572742268376;0.3945476403689447
17;4;30;18.563000000000027;18.5;11.883914914914925;3.44730545715272;0.3825421758119599
18;4;29;18.674999999999976;19.0;13.152527527527537;3.626641356341641;0.38947991539886023
19;4;30;18.663000000000004;19.0;14.29772872872873;3.7812337574829633;0.39629570780614454
20;4;30;18.462000000000018;18.5;14.046602602602611;3.7478797476176595;0.3949410068415127
21;4;31;18.753000000000007;19.0;14.17816916916917;3.765390971621562;0.395964667094981
22;4;30;18.486999999999966;19.0;14.680511511511511;3.831515563261033;0.39755555913696106
23;4;31;18.571000000000005;19.0;14.483442442442447;3.80571181810216;0.39685755016774266
24;4;35;18.367000000000008;18.0;17.11542642642644;4.137079456141305;0.4093054493061527
25;4;29;18.467000000000013;18.0;16.42934034034034;4.053312267805225;0.4058488631874108
26;4;32;18.44000000000002;18.0;17.031431431431432;4.126915486344666;0.4086661931547366
27;4;30;18.361999999999977;18.0;17.082038038038046;4.133042225532912;0.4085075240951445
28;4;31;18.339999999999986;18.0;16.232632632632633;4.02897414146984;0.40420060381838363
29;4;30;18.535999999999994;18.0;16.763467467467468;4.094321368367103;0.406954223178552
30;4;30;18.565000000000005;18.0;16.420195195195195;4.05218400312661;0.4062969567817912
31;4;30;18.40399999999999;18.0;16.865649649649647;4.106780935191169;0.40729383079900966
32;4;31;18.43400000000002;18.0;16.906550550550552;4.111757598710137;0.4084183051647211
33;4;32;18.389999999999983;18.0;17.149049049049044;4.1411410322577815;0.4087355262392981
34;4;30;18.27;18.0;15.640740740740737;3.9548376377217735;0.4020869406564444
35;4;32;18.432999999999996;19.0;16.736247247247256;4.090995874753146;0.40619987400788343
36;4;29;18.39400000000001;18.0;16.771535535535538;4.095306525223178;0.40604961496108544
37;4;31;18.692000000000007;19.0;17.975111111111115;4.239706488792723;0.41001804448574647
38;4;30;18.142999999999983;18.0;15.754305305305312;3.96916934701775;0.40252098671180714
39;4;33;18.473999999999993;18.0;17.707031031031033;4.20797231823488;0.410933613776024
40;4;30;18.617999999999995;19.0;16.702778778778764;4.086903323884572;0.40744848419538776
41;4;30;18.505000000000003;18.0;16.011986986986987;4.001498092838104;0.40440511362089515
42;4;32;18.73599999999999;19.0;16.21852252252252;4.027222681020075;0.4041217904784205
43;4;29;18.641000000000012;18.0;14.9770960960961;3.8700253353300025;0.3982049433559065
44;4;31;18.592000000000027;18.0;16.031567567567567;4.003944001552415;0.4034568833483478
45;4;30;18.800000000000004;19.0;16.298298298298302;4.037115095993462;0.40453772430569157
46;4;30;18.344999999999995;18.0;17.69567067067067;4.2066222400722735;0.41043605136164246
47;4;32;18.757000000000005;19.0;15.683634634634636;3.9602568899800725;0.4011817950907898
48;4;29;18.908000000000012;19.0;14.866402402402407;3.85569739507685;0.39844622920093176
49;4;31;18.487999999999992;18.0;15.30315915915915;3.9119252496896144;0.40063429493693115
50;4;30;18.41800000000002;18.0;15.96724324324324;3.9959033075442703;0.4033895723092151
51;4;31;18.52600000000001;19.0;14.726050050050045;3.8374535893024224;0.39695519125636297
52;4;30;18.59599999999999;18.0;15.542326326326325;3.9423757211009613;0.4017763030414099
53;4;33;18.739000000000004;19.0;15.754633633633633;3.9692107066309332;0.40297463487284363
54;4;30;18.58299999999998;19.0;14.703814814814827;3.8345553607706364;0.3983649350805794
55;4;30;18.49900000000001;18.0;14.962961961961959;3.8681988007290884;0.39961953395163174
56;4;30;18.336000000000006;18.0;13.832936936936932;3.719265644846699;0.3937111185040335
57;4;33;18.495000000000005;18.0;14.330305305305302;3.7855389715739687;0.3956636555950326
58;4;31;18.454000000000008;18.0;15.605489489489482;3.9503783982663587;0.4017936358689608
59;4;30;18.30899999999999;18.0;15.90342242242243;3.987909530370822;0.40340622174907054
60;4;30;18.519999999999996;18.0;15.893493493493489;3.9866644570986267;0.40192458361315603
61;4;30;18.35000000000001;18.0;14.638138138138137;3.8259819835093496;0.3979727594251455
62;4;30;18.42999999999999;18.0;15.83893893893894;3.979816445382744;0.403193099971757
63;4;30;18.63899999999999;19.0;17.165844844844848;4.1431684547994;0.4081663938059323
64;4;31;18.401000000000014;18.0;16.871070070070065;4.107440817597992;0.406371957907319
65;4;30;18.217000000000045;18.0;17.26117217217217;4.1546566852355165;0.4086510864338142
66;4;30;18.514000000000024;18.0;16.71852252252251;4.088828991596801;0.4067188994923886
67;4;31;18.411000000000005;18.0;17.31339239239239;4.160936480216009;0.409073059204049
68;4;31;18.319999999999975;18.0;16.732332332332344;4.090517367318264;0.4074775247729581
69;4;31;18.445000000000007;18.0;16.85382882882884;4.105341499659783;0.4060819175400016
70;4;31;18.56799999999999;18.0;17.392768768768764;4.170463855348559;0.40962408620713114
71;4;32;18.630999999999958;18.0;16.231070070070064;4.02878022111781;0.40411615403143264
72;4;32;18.62000000000002;19.0;16.291891891891893;4.0363215793457154;0.40557668549838904
73;4;31;18.709000000000007;19.0;16.352671671671658;4.043843675474073;0.4049102864693182
74;4;32;18.611000000000008;18.0;15.621300300300307;3.9523790683966924;0.4005421445446704
75;4;31;18.65999999999999;18.0;17.00740740740741;4.124003807879839;0.4079829636927491
76;4;32;18.66799999999998;19.0;15.841617617617619;3.98015296409794;0.40339292147764527
77;4;29;18.496000000000002;18.0;16.2242082082082;4.027928525707501;0.4052946179063665
78;4;32;18.684000000000022;19.0;16.724868868868864;4.089604977118067;0.4061830186470288
79;4;31;18.51899999999999;18.0;17.240879879879877;4.152213852859686;0.4082846107745696
80;4;29;18.454999999999973;18.0;15.781756756756756;3.97262592711128;0.40246766953589697
81;4;33;18.571000000000033;19.0;17.54850750750752;4.189093876664441;0.4102902605637833
82;4;30;18.63999999999999;18.0;16.685085085085092;4.0847380681122125;0.4063359946551315
83;4;31;18.247000000000014;18.0;16.97496596596597;4.120068684617523;0.40785510219755705
