gen;best;worst;mean;median;variance;std_dev;diversity
1;9;29;19.558999999999997;20.0;10.242761761761756;3.20043149618325;0.372623053584912
2;9;31;19.465;19.0;10.889664664664663;3.2999491912247167;0.37642935955594786
3;9;30;19.316999999999982;19.0;10.54906006006006;3.24793165877302;0.37354597425783054
4;9;29;19.378000000000007;19.0;10.936052052052043;3.306970222432014;0.37664981505848955
5;9;28;18.91900000000003;19.0;10.71915815815816;3.2740125470373753;0.3747649645153768
6;6;29;18.959999999999983;19.0;12.2026026026026;3.493222380926041;0.385353143138981
7;6;29;19.018000000000026;19.0;11.250926926926919;3.354240141511475;0.3790657241428249
8;6;28;19.081999999999976;19.0;10.657933933933935;3.264649128763141;0.3747026924916643
9;6;33;18.91399999999999;19.0;11.924528528528537;3.453191064584834;0.3821625477526465
10;6;31;19.14700000000004;19.0;11.85324424424425;3.4428540840767927;0.38192194831171333
11;6;31;19.086000000000002;19.0;12.254858858858862;3.5006940538782967;0.38494182694077633
12;6;31;19.041000000000007;19.0;12.792111111111122;3.5766060883344593;0.3875678969989926
13;6;31;18.86800000000001;19.0;12.689265265265265;3.5621994982405556;0.3874324555116456
14;6;28;18.84300000000004;19.0;12.574925925925918;3.546114200914279;0.386118620660382
15;6;30;18.883999999999993;19.0;12.467011011011003;3.530865476198577;0.38573848606028593
16;5;29;18.771000000000022;19.0;13.59815715715714;3.6875679189890374;0.3919718279311872
17;5;32;18.649999999999984;19.0;13.098598598598587;3.6191986127592646;0.38975655212893184
18;5;33;19.08699999999999;19.0;12.365796796796797;3.516503490229577;0.38538832911783005
19;5;30;18.866000000000028;19.0;12.706750750750745;3.564652963578747;0.3876516006464147
20;5;29;18.89799999999998;19.0;12.43403003003004;3.526192001299708;0.3856335637558472
21;5;29;18.74800000000002;19.0;11.874370370370361;3.445920830543029;0.3824575305624163
22;5;30;18.599000000000025;19.0;11.98418318318318;3.46181790150539;0.38338292944368885
23;5;30;18.876;19.0;12.80342742742744;3.5781877294836613;0.3871573965407116
24;5;32;18.694999999999993;19.0;13.723698698698707;3.704551079240062;0.3926346993935818
25;5;31;18.44799999999999;18.0;13.815111111111111;3.716868454910815;0.3939047306698536
26;5;29;18.543000000000013;19.0;13.948099099099085;3.7347153973360654;0.39352133504022285
27;5;30;18.51799999999999;18.0;14.135811811811822;3.7597622014978316;0.3951791686985061
28;5;30;18.305999999999997;18.0;14.064428428428428;3.7502571149760424;0.3951519217847415
29;5;32;18.34200000000001;18.0;13.864900900900905;3.7235602453701357;0.3929432618018053
30;5;30;18.56200000000002;19.0;13.641797797797802;3.6934804450271295;0.39263170909295964
31;5;33;18.588999999999984;19.0;13.97405305305306;3.738188472114944;0.3938414893795809
32;5;31;18.389999999999986;18.0;12.598498498498492;3.5494363634947015;0.3859278220353805
33;5;32;18.557000000000023;18.0;14.283034034034028;3.779290149490249;0.3954584322180309
34;5;30;18.657000000000004;19.0;14.80015115115115;3.847096457219542;0.3982640309354174
35;5;31;18.625999999999987;19.0;14.484608608608609;3.8058650276393946;0.3965537107460817
36;5;31;18.71599999999999;19.0;13.394738738738745;3.659882339466495;0.3916506337273045
37;5;30;18.46499999999998;18.0;13.590365365365363;3.6865112729198812;0.39238628284828503
38;5;29;18.708000000000013;19.0;14.607343343343354;3.8219554345051376;0.397232994652585
39;5;31;18.696000000000044;19.0;14.638222222222222;3.8259929720560417;0.3963398311235562
40;5;31;18.602999999999994;18.0;13.943334334334342;3.7340774408593003;0.3942703606763593
41;5;31;18.935000000000002;19.0;14.148923923923924;3.7615055395312025;0.39561720029555764
42;5;31;18.715;19.0;12.690465465465454;3.5623679576182825;0.3873661598001772
43;5;31;18.805000000000003;19.0;13.296271271271271;3.646405253296906;0.39075202894411165
44;5;31;18.565999999999978;18.0;13.469113113113103;3.670029034369225;0.39064816537074054
45;5;30;18.98099999999997;19.0;14.507146146146145;3.8088247723078763;0.39682197352607756
46;5;30;18.699000000000026;19.0;14.408807807807802;3.7958935453734477;0.39601729613189235
47;5;30;18.83900000000002;19.0;13.40248148148148;3.66093997239527;0.3915086414361959
48;5;30;18.829999999999984;19.0;13.935035035035034;3.732965983642904;0.39445676415083186
49;5;32;18.46399999999999;19.0;14.136840840840842;3.759899046628891;0.39454447763722555
50;5;29;18.569999999999986;19.0;13.660760760760748;3.696046639419036;0.3920281043727467
51;5;30;18.615999999999993;19.0;14.048592592592588;3.7481452203179892;0.394736818112228
52;5;32;18.55100000000001;18.0;15.43283183183183;3.9284643096039233;0.40067937338494974
53;5;29;18.537000000000013;18.0;14.453084084084082;3.8017212002044656;0.3970488863692028
54;5;35;18.48500000000002;18.0;15.393168168168174;3.9234128215328266;0.3994760348634783
55;5;30;18.523999999999997;19.0;14.842266266266273;3.8525661923276897;0.3984261437853489
56;5;31;18.652999999999967;18.0;15.56015115115115;3.9446357437856223;0.40148626870813314
57;5;32;18.55199999999999;18.0;14.141437437437443;3.7605102629081393;0.3944469106296392
58;5;30;18.621;18.5;15.657016016016012;3.956894744116403;0.40270160681725853
59;5;31;18.54399999999998;18.0;16.20226626626627;4.025203878844682;0.40489269586899235
60;5;32;18.678000000000022;19.0;15.553869869869853;3.9438394832789343;0.4016934201844879
61;5;32;18.820000000000007;19.0;16.67027027027027;4.082924230287683;0.4071160180063846
62;5;33;18.704999999999977;19.0;16.97695195195196;4.120309691267388;0.4078144449123769
63;5;32;18.753000000000018;19.0;16.348339339339333;4.043307969885467;0.40578781444697626
64;5;29;18.555000000000017;18.0;14.695670670670673;3.8334932725479867;0.3972104882611561
65;5;31;18.73800000000004;18.0;15.398754754754751;3.9241247119268206;0.401200987012586
66;5;31;18.62000000000002;18.0;14.434034034034038;3.7992149233800974;0.3950108039527415
67;5;29;18.657000000000014;19.0;14.878229229229245;3.857230772099233;0.39889893407915156
68;5;30;18.38100000000001;18.0;14.570409409409404;3.817120565217898;0.39735685667886267
69;5;29;18.553999999999988;18.0;15.965049049049053;3.9956287426447736;0.40309709358380214
70;5;32;18.39700000000004;18.0;16.90029129129129;4.1109963866794255;0.4077797722082242
71;5;31;18.755000000000003;18.0;15.80077577577578;3.9750189654611434;0.40245918495909805
72;5;30;18.692999999999966;19.0;16.074825825825833;4.009342318364177;0.40458163500978106
73;5;33;18.664999999999974;19.0;15.78656156156156;3.97323062023356;0.4029234849045364
74;5;32;18.726000000000052;19.0;15.726650650650646;3.965684133998905;0.4022265899990506
75;5;29;18.68300000000004;19.0;14.649160160160152;3.827422129862364;0.3973555637381274
76;5;29;18.697000000000003;19.0;14.581772772772771;3.8186087483235003;0.39704509784930625
77;5;29;18.584999999999976;18.0;13.830605605605625;3.7189522187849664;0.3934771815857283
78;5;30;18.593000000000004;18.0;14.335686686686692;3.786249686257721;0.3963371769224788
79;5;32;18.483999999999998;18.0;15.799543543543537;3.974863965413601;0.4024643801900431
80;5;30;18.475999999999978;18.0;16.18761161161161;4.023383105250059;0.40422503969326506
81;5;31;18.620000000000008;19.0;16.50610610610611;4.062770742499029;0.4060839111855162
82;5;30;18.583999999999996;18.0;16.002946946946953;4.000368351408024;0.4039187753374394
